Column	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
G	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Z	9.41572964648758	9.94224124063983	10.1996952412334	9.71092339110874	10.3923190400996	9.56853417107796	8.51062614653776	8.58044802499759	8.85556939300881	7.73540405282384	6.41581298447182	5.75198814034226	5.58922818385797	6.07090549606181	4.91464429831776	5.36256210073639	5.84468465174727	5.00627674589129	6.01665802955764	8.18939811601465	10.4152715862781
P	9.9295081891502	12.171665587147	16.9664360391464	14.1627949155425	15.0079233611827	20.1434453428955	16.8190206106215	16.1770689786307	17.0975706094181	15.1899891078843	12.5653921317914	11.3894209829979	10.8602722283696	9.37784019990893	9.54726966585391	9.18235269534425	11.3007927390792	14.0688124261175	16.7280323269779	25.966499738651	21.6381693042849
F	29.0913623267643	28.5976778891293	32.997695062994	30.8645286065264	27.0461498609589	24.6511987395484	23.6696940674164	18.0146057973416	14.0121153074836	14.2204197755836	13.2662721728809	14.2928378705256	11.6381067988571	12.2019697769226	11.1948956077139	14.5475739096294	18.6815303277138	12.0013159819399	12.9844451991925	18.5948440778659	15.7184425615292
J	5.75983921470107	8.26665095614879	6.32104101557172	12.0682452919552	20.6581148822072	31.832823328801	26.8692508666266	23.0838724210958	21.6486653684395	11.7865402391648	19.8747085446704	19.2613326677296	20.6266032674422	15.3822179705119	13.792044017499	16.5289256198347	16.7231905507824	14.9705618871052	116.927797943983	180.47440007923	275.274157577707
S	16.3233846087341	17.7267300210689	19.9579991620678	16.8134230103498	17.1245753576946	17.7540962954522	15.9294010138606	14.4701585778849	14.3389286645684	13.2173100849351	10.8573422219159	10.8651337119671	11.758307504298	11.0052406344499	9.47242416589467	9.77385513448662	10.8319435562895	9.22526560181767	17.389710125443	24.3894499263963	39.4110002983514
N	3.46168854873428	4.85864383104066	5.5742014223015	5.95910352381655	7.14387769681383	9.05473855773994	6.49007770959446	8.86271602237253	4.20145014287402	8.20598766784865	7.07478757950293	4.75471554574625	7.62041452442299	5.03230741359528	6.47060464969562	6.44317316516001	4.84044046518867	6.04861234158862	6.13200573138136	5.71844220484832	8.94782944495201
D	23.3330454615524	23.0369398517995	23.3746367141739	22.3922440868638	20.6718703909278	19.4535795878425	18.0405296800947	16.4746889742313	16.5541675937641	13.9033487909524	12.4612151526353	11.5688143328301	10.8812527858876	10.7540653601367	10.0558837490377	10.730184741819	9.77701632588805	8.17480038985203	9.93937457115314	12.8027926107796	13.793659250769
s	19.4775335686255	18.2433800651102	19.3890132397199	18.5187039704896	17.614645971884	17.8406881854013	16.9999489013984	15.5012851049548	15.0024263579828	12.800150862592	11.6775724137321	12.1171486483355	11.2531204841083	11.4925106061077	11.009647337492	10.761435380566	10.6964414093036	8.93480491471301	12.0204466446814	15.8591689674553	20.9802283397183
a	32.7289714736965	35.3567940647197	41.0222041781471	41.8778783386793	36.4835411800674	30.653891783356	27.8087242888153	26.7025385201258	25.172259680224	23.4133552500018	19.5833265395267	16.04426457439	14.6857966190959	13.9844780035268	12.9745452463691	13.6554354862905	15.1130190280881	12.7501113642539	17.2292815936289	25.255275082631	26.95002347987
z	12.9250160383411	14.384880384187	13.0750308390383	11.733609999506	10.7080434677481	9.55586374860468	8.97730387957512	8.90852141755662	9.64582616259937	6.95885859536072	7.23685285610569	5.36115907646529	3.92072120761832	4.30623125026079	4.89950816250747	5.33109331358427	6.18910049605285	4.91810995629205	4.996790256259	7.61035529389341	24.9296651498862
national	17.677616	17.999657	19.236050	18.175465	17.530966	16.924405	15.523069	14.310259	14.265796	12.582330	10.934168	10.317377 	9.908272	9.828492	8.930793	9.405076	9.764174	8.151169	12.672565	17.624560	22.599059
