Column	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
G	264	327	396	353	333	307	259	264	305	270	239	187	182	225	209	348	353	191	267	329	900
G	2249581	2305130.4	2360679.8	2416229.2	2471778.6	2527328	2572506.8	2617685.6	2662864.4	2708043.2	2753222	2807425.2	2861628.4	2915831.6	2970034.8	3024238	3073101.2	3121964.4	3170827.6	3219690.8	3268554
Z	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Z	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
J	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
J	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S	1695	2015	2459	2129	2401	2433	2246	2158	2067	1941	1738	1906	1840	1742	1646	1787	1825	1726	4652	7221	11633
S	11109171	1.13894386E7	1.16697062E7	1.19499738E7	1.22302414E7	12510509	12678127	12845745	13013363	13180981	13348599	1.35456906E7	1.37427822E7	1.39398738E7	1.41369654E7	14334057	1.45929632E7	1.48518694E7	1.51107756E7	1.53696818E7	15628588
N	9210	9363	10109	10019	9553	9421	8778	8280	8619	7370	6547	5983	5868	5840	5323	5480	5559	4660	5876	7613	8015
N	46550431	4.76659568E7	4.87814826E7	4.98970084E7	5.10125342E7	52128060	5.29047678E7	5.36814756E7	5.44581834E7	5.52348912E7	55951610	5.65698806E7	5.71881512E7	5.78064218E7	5.84246924E7	59042963	6.00438408E7	6.10447186E7	6.20455964E7	6.30464742E7	64047352
D	2946	2998	3141	3084	3029	2902	2711	2392	2014	1937	1724	1715	1595	1696	1499	1686	2089	1785	1977	2818	3336
D	19679607	20123283	20566959	21010635	21454311	21897987	2.21069124E7	2.23158378E7	2.25247632E7	2.27336886E7	22942614	2.31576234E7	2.33726328E7	2.35876422E7	2.38026516E7	24017661	2.44615236E7	2.49053862E7	2.53492488E7	2.57931114E7	26236974
s	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
z	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
z	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
national	14363	14982	16393	15850	15636	15431	14351	13412	13552	12113	10659	10177	9888	9922	9119	9712	10260	8713	13776	19479	25387
national	81249645	83234920	85220196	87205472	89190748	91176024	92449499	93722974	94996450	96269925	97483412	98639407	99795402	100951397	102107392	103263388	105078018	106892648	108707278	110521908	112336538
