Clave	Nombre	1990	Homicidio	Operaciones legales y de guerra	1991	Homicidio2	Operaciones legales y de guerra 2	1992	Homicidio3	Operaciones legales y de guerra 3	1993	Homicidio4	Operaciones legales y de guerra 4	1994	Homicidio5	Operaciones legales y de guerra 5	1995	Homicidio6	Operaciones legales y de guerra 6	1996	Homicidio7	Operaciones legales y de guerra 7	1997	Homicidio8	Operaciones legales y de guerra 8	1998	Homicidio9	Operaciones legales y de guerra 9	1999	Homicidio10	Operaciones legales y de guerra 10	2000	Homicidio11	Operaciones legales y de guerra 11	2001	Homicidio12	Operaciones legales y de guerra 12	2002	Homicidio13	Operaciones legales y de guerra 13	2003	Homicidio14	Operaciones legales y de guerra 14	2004	Homicidio15	Operaciones legales y de guerra 15	2005	Homicidio16	Operaciones legales y de guerra 16	2006	Homicidio17	Operaciones legales y de guerra 17	2007	Homicidio18	Operaciones legales y de guerra 18	Criminal Rivalry Deaths	2008	Homicidio19	Operaciones legales y de guerra 19	Criminal Rivalry Deaths 2	2009	Homicidio20	Operaciones legales y de guerra 20	Criminal Rivalry Deaths 3	2010	Homicidio21	Criminal Rivalry Deaths 4
03003	La Paz	70	5	0	56	4	0	82	3	0	96	9	0	84	14	0	88	14	0	102	9	0	94	14	0	84	8	0	87	14	0	99	8	0	85	7	0	113	15	0	93	10	0	99	14	0	117	14	0	120	10	0	127	7	0	0	116	10	0	3	122	13	0	0	129	24	2
03008	Los Cabos	46	3	0	35	4	0	47	9	0	38	7	0	49	8	0	36	10	0	72	8	0	68	9	0	66	7	0	57	9	0	64	14	0	70	6	0	71	12	0	70	7	0	73	12	0	98	14	0	100	11	0	143	15	0	0	155	21	0	0	98	13	0	1	99	20	1
03009	Loreto	0	0	0	0	0	0	0	0	0	5	0	0	5	0	0	8	1	0	6	0	0	9	2	0	2	0	0	5	1	0	6	0	0	9	1	0	3	0	0	4	2	0	8	0	0	11	0	0	14	0	0	14	2	0	0	19	1	0	0	9	1	0	19	8	0	0
04001	CalkinÌÎ	16	2	0	24	1	0	9	1	0	13	1	0	13	1	0	13	3	0	12	0	0	18	1	0	13	2	0	26	3	0	15	5	0	16	0	0	27	1	0	22	0	0	18	1	0	20	2	0	20	0	0	27	2	0	2	21	0	0	3	26	0	0	6	15	1	15
04002	Campeche	135	17	0	125	17	0	112	29	0	123	30	0	104	24	0	111	24	0	113	21	0	85	15	0	113	29	0	114	19	0	118	12	0	103	15	0	110	19	0	106	10	0	94	5	0	104	14	0	106	9	0	87	5	0	0	128	18	0	0	124	13	0	3	106	10	0
04003	Carmen	184	48	0	171	35	0	123	20	0	104	23	0	117	32	0	123	32	0	113	23	0	151	39	0	124	20	0	113	27	0	111	21	0	94	14	0	116	16	0	115	17	0	104	9	0	108	17	0	107	13	0	129	22	0	0	117	13	0	0	153	28	0	1	111	20	0
04004	ChampotÌ_n	47	15	0	50	13	0	39	12	0	49	8	0	48	5	0	35	10	0	53	16	0	67	8	0	41	10	0	41	7	0	45	10	0	38	5	0	38	5	0	40	5	0	47	8	0	46	5	0	34	4	0	32	6	0	0	45	7	0	0	37	2	0	3	49	9	0
04005	Hecelchakåán	10	2	0	3	0	0	8	2	0	11	0	0	6	1	0	15	1	0	11	0	0	12	0	0	15	2	0	14	2	0	9	0	0	4	0	0	18	0	0	14	0	0	3	0	0	11	0	0	9	0	0	12	1	0	1	12	2	0	1	15	0	0	0	15	1	0
04006	HopelchÌön	8	0	0	11	3	0	19	7	0	17	3	0	10	3	0	13	4	0	14	3	0	18	4	0	12	1	0	11	1	0	11	1	0	8	1	0	6	0	0	11	1	0	6	1	0	16	2	0	10	0	0	9	2	0	1	13	0	0	0	14	2	0	3	15	0	8
04007	Palizada	10	1	0	12	0	0	11	1	0	3	0	0	6	0	0	3	1	0	2	0	0	6	0	0	5	1	0	4	0	0	2	0	0	4	1	0	8	1	0	9	0	0	8	0	0	9	0	0	6	0	0	5	0	0	0	5	0	0	1	6	1	0	1	8	0	1
