Clave	Nombre	1990	Homicidio	Operaciones legales y de guerra	1991	Homicidio2	Operaciones legales y de guerra 2	1992	Homicidio3	Operaciones legales y de guerra 3	1993	Homicidio4	Operaciones legales y de guerra 4	1994	Homicidio5	Operaciones legales y de guerra 5	1995	Homicidio6	Operaciones legales y de guerra 6	1996	Homicidio7	Operaciones legales y de guerra 7	1997	Homicidio8	Operaciones legales y de guerra 8	1998	Homicidio9	Operaciones legales y de guerra 9	1999	Homicidio10	Operaciones legales y de guerra 10	2000	Homicidio11	Operaciones legales y de guerra 11	2001	Homicidio12	Operaciones legales y de guerra 12	2002	Homicidio13	Operaciones legales y de guerra 13	2003	Homicidio14	Operaciones legales y de guerra 14	2004	Homicidio15	Operaciones legales y de guerra 15	2005	Homicidio16	Operaciones legales y de guerra 16	2006	Homicidio17	Operaciones legales y de guerra 17	2007	Homicidio18	Operaciones legales y de guerra 18	Criminal Rivalry Deaths	2008	Homicidio19	Operaciones legales y de guerra 19	Criminal Rivalry Deaths 2	2009	Homicidio20	Operaciones legales y de guerra 20	Criminal Rivalry Deaths 3	2010	Homicidio21	Criminal Rivalry Deaths 4
13066	Villa de Tezontepec	1	1	0	6	0	0	6	1	0	5	0	0	4	1	0	5	0	0	4	1	0	4	1	0	7	1	0	6	0	0	8	0	0	7	0	0	5	0	0	5	1	0	8	0	0	6	0	0	6	0	0	5	0	0	2	2	0	0	0	6	0	0	2	3	0	1
13067	Tezontepec de Aldama	19	1	0	18	1	0	16	2	0	23	3	0	24	4	0	16	5	0	17	0	0	15	2	0	17	2	0	20	1	0	24	2	0	22	1	0	21	3	0	20	2	0	22	2	0	31	8	0	20	2	0	22	1	0	1	24	0	0	3	28	1	0	0	20	2	2
13068	Tianguistengo	1	1	0	10	2	0	4	1	0	4	0	0	4	0	0	5	3	0	1	0	0	6	2	0	3	0	0	6	2	0	3	0	0	6	0	0	1	0	0	4	0	0	4	0	0	4	0	0	1	0	0	3	0	0	10	3	0	0	1	3	1	0	11	2	0	7
13069	Tizayuca	13	0	0	18	3	0	19	0	0	17	2	0	23	0	0	16	3	0	25	4	0	19	0	0	23	3	0	28	4	0	24	1	0	21	4	0	27	1	0	31	2	0	34	3	0	29	1	0	30	1	0	43	1	0	0	42	4	0	0	53	6	0	2	37	3	1
13070	Tlahuelilpan	8	1	0	5	0	0	7	0	0	6	1	0	5	2	0	5	1	0	8	0	0	10	2	0	5	1	0	6	1	0	6	0	0	6	2	0	6	0	0	13	0	0	10	1	0	8	1	0	10	0	0	5	1	0	0	4	0	0	4	10	2	0	0	4	0	0
13071	Tlahuiltepa	10	3	0	7	3	0	9	1	0	7	1	0	7	3	0	2	0	0	8	3	0	7	0	0	6	0	0	3	0	0	5	0	0	4	0	0	2	0	0	4	1	0	6	0	0	4	0	0	8	0	0	7	1	0	25	13	0	0	12	5	1	0	45	8	2	65
13072	Tlanalapa	3	0	0	4	2	0	2	0	0	5	0	0	1	0	0	3	0	0	5	0	0	4	0	0	3	0	0	5	1	0	8	0	0	4	3	0	0	0	0	7	0	0	3	0	0	3	0	0	4	0	0	4	1	0	0	3	0	0	0	8	0	0	0	9	1	1
13073	Tlanchinol	18	0	0	3	1	0	11	2	0	16	2	0	6	2	0	12	3	0	16	1	0	20	3	0	11	0	0	10	2	0	11	1	0	14	1	0	9	2	0	13	1	0	8	1	0	7	2	0	13	2	0	6	2	0	5	15	1	0	2	13	0	0	9	16	2	7
13074	Tlaxcoapan	5	0	0	5	0	0	7	0	0	4	1	0	6	0	0	14	3	0	11	2	0	9	0	0	7	2	0	11	0	0	4	0	0	7	0	0	8	1	0	12	2	0	12	1	0	14	1	0	8	0	0	13	1	0	2	7	0	0	3	11	3	0	5	6	1	2
13075	Tolcayuca	3	1	0	11	0	0	6	0	0	3	0	0	8	1	0	3	0	0	8	0	0	2	1	0	11	0	0	5	0	0	4	1	0	4	1	0	9	0	0	2	0	0	3	0	0	6	0	0	6	0	0	5	0	0	2	7	0	0	4	3	0	0	1	10	0	5
13076	Tula de Allende	51	7	0	54	6	0	54	7	0	49	3	0	59	7	0	49	0	0	52	7	0	56	4	0	51	14	0	44	3	0	47	7	0	56	3	0	37	3	0	46	3	0	55	10	0	38	6	0	56	3	0	42	3	0	0	52	9	0	0	64	3	0	1	48	5	2
13077	Tulancingo de Bravo	73	13	0	65	8	0	69	14	0	58	17	0	58	7	0	78	18	0	72	15	0	79	16	0	86	11	0	73	11	0	57	3	0	64	4	0	66	6	0	59	8	0	82	7	0	67	4	0	71	1	0	82	8	0	1	91	17	0	4	107	13	0	7	78	9	2
13078	Xochiatipan	10	2	0	0	0	0	3	0	0	6	0	0	4	1	0	10	3	0	7	3	0	4	1	0	10	0	0	6	1	0	5	0	0	3	0	0	4	0	0	3	1	0	0	0	0	1	0	0	3	0	0	6	1	0	7	7	3	0	0	10	0	0	1	3	0	0
13079	Xochicoatlåán	2	1	0	5	2	0	4	0	0	6	0	0	3	0	0	1	0	0	5	1	0	6	0	0	7	0	0	4	0	0	3	0	0	1	0	0	3	0	0	4	0	0	8	0	0	8	0	0	8	0	0	2	1	0	1	8	0	0	3	4	0	0	6	2	0	10
13080	Yahualica	8	6	0	4	2	0	7	6	0	6	1	0	4	3	0	7	3	0	7	2	0	4	0	0	13	7	0	8	1	0	6	1	0	2	0	0	3	0	0	2	0	0	5	0	0	3	0	0	6	0	0	6	0	0	6	4	0	0	4	10	1	0	8	4	3	4
13081	Zacualtipåán de åÁngeles	18	4	0	10	0	0	19	3	0	14	3	0	12	2	0	12	2	0	13	0	0	11	2	0	12	1	0	17	3	0	8	0	0	14	1	0	5	1	0	21	2	0	11	0	0	17	1	0	8	1	0	11	2	0	1	10	1	0	2	13	1	0	1	23	2	1
13082	Zapotlåán de Juåárez	6	0	0	7	0	0	9	1	0	4	0	0	3	0	0	8	0	0	8	0	0	5	0	0	15	2	0	5	0	0	6	0	0	9	1	0	4	0	0	6	1	0	8	1	0	7	0	0	9	0	0	4	0	0	1	3	0	0	0	9	1	0	0	4	1	0
13083	Zempoala	26	4	0	9	0	0	13	1	0	18	0	0	8	1	0	8	0	0	7	1	0	21	1	0	12	2	0	12	0	0	16	2	0	6	0	0	12	0	0	12	1	0	15	0	0	17	1	0	19	1	0	17	1	0	3	16	0	0	4	17	2	0	4	18	1	1
13084	Zimapåán	29	4	0	32	1	0	36	6	0	31	3	0	26	3	0	23	4	0	20	1	0	23	0	0	21	2	0	23	2	0	16	2	0	13	2	0	21	4	0	17	1	0	23	3	0	13	1	0	16	0	0	13	2	0	1	19	3	0	0	29	3	0	0	23	6	2
14001	Acatic	14	0	0	38	8	0	24	0	0	17	0	0	4	0	0	7	1	0	11	1	0	10	1	0	15	0	0	9	1	0	17	1	0	8	0	0	10	1	0	10	1	0	13	0	0	14	0	0	8	1	0	18	2	0	4	15	0	0	1	19	1	0	7	24	0	0
14002	Acatlåán de Juåárez	19	0	0	6	0	0	13	1	0	17	1	0	15	4	0	12	4	0	9	0	0	17	0	0	14	1	0	13	0	0	13	1	0	14	1	0	15	1	0	7	2	0	14	0	0	19	1	0	8	0	0	12	0	0	0	9	1	0	0	16	0	0	2	12	0	0
14003	Ahualulco de Mercado	10	1	0	11	1	0	12	5	0	9	2	0	11	1	0	15	1	0	9	0	0	13	1	0	6	1	0	9	1	0	13	2	0	6	1	0	8	3	0	12	1	0	12	2	0	8	0	0	16	0	0	11	1	0	1	10	1	0	1	7	2	0	1	14	1	4
14004	Amacueca	10	1	0	2	0	0	3	1	0	9	2	0	3	0	0	5	2	0	3	0	0	3	0	0	11	1	0	4	0	0	2	0	0	2	1	0	7	0	0	7	0	0	3	0	0	5	0	0	6	0	0	3	0	0	3	3	2	0	1	3	0	0	6	6	0	4
14005	Amatitåán	12	1	0	22	3	0	16	3	0	20	9	0	10	1	0	15	3	0	1	0	0	5	0	0	5	0	0	4	0	0	8	1	0	16	6	0	10	2	0	11	0	0	10	0	0	7	0	0	8	2	0	6	0	0	0	13	1	0	1	12	2	0	0	19	3	0
14006	Ameca	44	7	0	34	3	0	45	4	0	30	6	0	37	4	0	30	2	0	33	4	0	37	6	0	46	5	0	41	6	0	39	4	0	29	6	0	36	9	0	25	3	0	21	2	0	33	4	0	36	5	0	35	5	0	0	29	3	0	0	36	2	0	4	32	1	5
14007	San Juanito de Escobedo	4	0	0	2	0	0	10	1	0	14	2	0	10	4	0	1	0	0	11	4	0	9	3	0	3	0	0	9	2	0	6	2	0	9	2	0	4	0	0	4	0	0	10	1	0	4	0	0	4	0	0	9	4	0	4	3	0	0	2	3	0	0	5	12	0	5
14008	Arandas	40	3	0	60	7	0	47	13	0	47	8	0	46	1	0	57	6	0	40	5	0	48	5	0	51	6	0	45	7	0	59	7	0	40	2	0	66	4	0	42	3	0	55	2	0	61	3	0	45	5	0	52	3	0	3	48	2	0	2	40	3	0	27	47	8	4
14009	EL Arenal	8	2	0	5	0	0	18	2	0	8	2	0	7	1	0	8	3	0	7	0	0	10	3	0	10	3	0	13	1	0	8	1	0	9	2	0	16	1	0	8	0	0	10	0	0	13	1	0	12	2	0	12	3	0	0	15	5	0	0	18	5	0	0	8	0	2
14010	Atemajac de Brizuela	10	1	0	6	1	0	3	0	0	5	0	0	3	0	0	9	0	0	3	0	0	7	1	0	3	1	0	7	0	0	3	0	0	3	0	0	5	0	0	1	0	0	4	0	0	5	0	0	4	0	0	0	0	0	1	1	0	0	1	3	0	0	0	1	0	0
14011	Atengo	3	1	0	6	1	0	2	0	0	1	0	0	6	1	0	4	1	0	2	0	0	3	0	0	4	2	0	3	0	0	2	1	0	5	2	0	0	0	0	9	0	0	5	0	0	2	0	0	6	0	0	1	0	0	15	6	1	0	5	2	0	0	15	2	0	9
14012	Atenguillo	5	0	0	3	0	0	4	0	0	7	1	0	5	0	0	1	0	0	5	1	0	2	1	0	7	0	0	5	0	0	3	0	0	2	0	0	2	0	0	9	3	0	3	0	0	6	1	0	3	0	0	1	0	0	0	1	1	0	0	7	1	0	9	9	2	0
14013	Atotonilco el Alto	22	1	0	28	6	0	41	7	0	35	3	0	31	2	0	28	5	0	22	1	0	33	2	0	34	4	0	31	0	0	28	2	0	25	6	0	27	4	0	29	3	0	33	0	0	42	1	0	43	1	0	27	1	0	1	27	4	0	0	35	5	0	0	59	20	0
14014	Atoyac	7	1	0	8	0	0	9	3	0	4	2	0	7	0	0	8	0	0	7	0	0	5	0	0	6	0	0	7	3	0	11	1	0	9	1	0	5	0	0	6	1	0	5	2	0	7	0	0	2	0	0	3	1	0	0	11	2	0	3	10	1	0	1	9	2	7
14015	Autlåán de Navarro	27	3	0	27	6	0	40	3	0	36	5	0	32	10	0	27	5	0	30	7	0	44	6	0	33	2	0	30	5	0	24	1	0	27	2	0	22	1	0	30	4	0	29	9	0	37	2	0	40	4	0	31	3	0	0	41	4	0	0	35	5	0	2	35	5	2
14016	Ayotlåán	27	1	0	11	1	0	25	3	0	25	3	0	19	2	0	19	3	0	19	1	0	12	0	0	14	1	0	28	2	0	21	0	0	19	3	0	22	2	0	19	0	0	14	2	0	14	1	0	17	0	0	15	4	0	0	26	4	0	0	20	5	0	5	28	5	0
14017	Ayutla	11	2	0	8	2	0	6	1	0	6	3	0	14	5	0	6	0	0	11	2	0	13	2	0	12	5	0	9	3	0	7	1	0	11	0	0	5	0	0	8	0	0	5	2	0	9	1	0	9	0	0	9	2	0	3	7	0	0	1	8	1	0	0	8	0	0
14018	La Barca	43	2	0	29	2	0	42	4	0	30	2	0	37	5	0	47	6	0	27	2	0	29	2	0	43	0	0	31	2	0	39	5	0	38	2	0	24	5	0	30	0	0	46	1	0	41	5	0	27	2	0	31	8	0	1	34	6	0	0	45	10	0	3	34	14	0
14019	BolaÌÕos	8	0	0	3	1	0	12	4	0	6	1	0	3	1	0	8	2	0	8	3	0	8	2	0	8	1	0	5	3	0	7	2	0	4	1	0	2	1	0	1	1	0	2	0	0	2	0	0	1	0	0	4	0	0	0	9	0	0	0	7	3	0	1	4	0	0
14020	Cabo Corrientes	10	0	0	6	3	0	15	4	0	6	3	0	6	3	0	7	2	0	9	0	0	5	2	0	15	5	0	15	3	0	7	0	0	8	3	0	14	4	0	4	0	0	12	0	0	11	2	0	10	1	0	9	0	0	2	7	2	0	1	13	3	0	1	10	2	1
14021	Casimiro Castillo	28	2	0	14	3	0	20	3	0	24	10	0	11	2	0	16	2	0	18	1	0	13	1	0	15	5	0	10	2	0	19	4	0	21	5	0	12	1	0	13	3	0	12	0	0	15	1	0	13	2	0	18	1	0	4	12	0	0	1	16	3	0	1	18	3	1
14022	Cihuatlåán	17	4	0	20	5	0	38	11	0	19	4	0	17	4	0	25	4	0	25	6	0	21	3	0	14	4	0	25	4	0	32	3	0	20	2	0	22	4	0	20	3	0	21	5	0	14	5	0	26	3	0	25	4	0	1	20	3	0	3	30	14	0	5	32	7	7
14023	Zapotlåán el Grande	56	1	0	71	7	0	69	7	0	59	6	0	54	13	0	51	13	0	40	3	0	58	3	0	46	5	0	51	7	0	47	4	0	47	4	0	43	4	0	56	5	0	36	4	0	54	9	0	56	9	0	38	4	0	0	49	13	0	0	47	11	0	0	49	13	6
14024	Cocula	13	1	0	16	3	0	17	1	0	17	0	0	17	1	0	15	2	0	9	0	0	15	1	0	13	2	0	14	1	0	15	3	0	13	0	0	13	3	0	15	1	0	12	1	0	15	0	0	12	3	0	13	0	0	26	14	2	0	33	28	2	0	45	22	1	21
14025	Colotlåán	19	0	0	13	2	0	17	0	0	11	0	0	20	0	0	14	1	0	12	1	0	10	0	0	17	2	0	8	0	0	9	1	0	10	0	0	10	1	0	9	2	0	8	0	0	11	1	0	11	1	0	6	2	0	35	9	1	0	48	24	6	0	93	17	2	84
14026	ConcepciÌ_n de Buenos Aires	7	2	0	3	0	0	5	0	0	0	0	0	9	2	0	1	0	0	6	1	0	2	0	0	3	0	0	4	1	0	5	0	0	3	0	0	5	0	0	0	0	0	7	0	0	3	0	0	1	0	0	2	0	0	2	3	0	0	2	2	0	0	10	7	1	8
14027	Cuautitlåán de GarcÌÎa Barragåán	23	8	0	13	3	0	21	6	0	5	5	0	22	8	0	14	7	0	27	13	0	24	16	0	15	4	0	14	2	0	26	7	0	17	3	0	8	2	0	15	3	0	11	1	0	18	4	0	11	5	0	17	7	0	0	11	3	0	1	19	4	0	2	9	4	0
14028	Cuautla	4	0	0	2	0	0	1	0	0	1	0	0	5	0	0	3	0	0	0	0	0	2	0	0	4	0	0	3	0	0	0	0	0	3	0	0	3	2	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	4
14029	CuquÌÎo	14	1	0	9	1	0	10	2	0	8	0	0	7	0	0	7	1	0	7	2	0	15	1	0	12	0	0	11	3	0	9	2	0	10	2	0	10	0	0	3	0	0	8	1	0	5	0	0	7	1	0	15	0	0	1	10	1	0	0	16	1	0	5	15	0	0
14030	Chapala	30	7	0	43	7	0	33	3	0	35	3	0	29	3	0	29	12	0	17	2	0	39	2	0	30	7	0	31	5	0	39	4	0	19	0	0	33	6	0	23	7	0	29	6	0	26	2	0	27	1	0	24	2	0	1	27	4	0	0	37	7	0	1	34	9	0
14031	Chimaltitåán	4	2	0	3	0	0	11	2	0	6	4	0	3	1	0	5	1	0	2	1	0	1	1	0	10	1	0	5	0	0	2	0	0	1	1	0	9	2	0	7	1	0	7	1	0	4	0	0	3	1	0	3	1	0	2	4	1	0	2	3	0	0	1	4	0	0
14032	Chiquilistlåán	3	2	0	2	0	0	5	0	0	3	1	0	2	1	0	5	0	0	1	1	0	3	0	0	5	0	0	2	0	0	3	1	0	3	0	0	4	0	0	6	0	0	3	1	0	6	0	0	2	0	0	2	0	0	0	2	0	0	1	6	0	0	2	4	2	2
14033	Degollado	17	0	0	19	4	0	17	3	0	11	0	0	16	1	0	11	0	0	9	0	0	16	5	0	9	1	0	14	1	0	7	1	0	10	0	0	6	0	0	4	0	0	14	0	0	15	3	0	12	1	0	11	0	0	0	14	1	0	0	10	1	0	0	19	2	1
14034	Ejutla	1	0	0	1	0	0	1	0	0	1	0	0	2	0	0	1	1	0	3	1	0	0	0	0	1	0	0	0	0	0	6	1	0	4	0	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	0	1	0	0	2	0	0	0	4	1	0	0	6	2	0	2
14035	EncarnaciÌ_n de DÌÎaz	35	2	0	39	3	0	47	3	0	34	2	0	22	1	0	25	2	0	19	1	0	25	1	0	24	3	0	24	0	0	23	1	0	18	2	0	34	3	0	25	2	0	29	3	0	33	4	0	21	2	0	28	0	0	2	30	2	0	1	25	1	0	4	46	2	2
14036	Etzatlåán	24	2	0	11	1	0	9	0	0	3	0	0	14	4	0	12	5	0	14	5	0	16	5	0	9	5	0	19	6	0	8	3	0	11	2	0	11	3	0	9	1	0	12	1	0	8	0	0	22	3	0	16	2	0	0	14	1	0	8	8	1	0	11	8	2	9
14037	El Grullo	12	1	0	14	3	0	13	5	0	17	5	0	21	0	0	11	3	0	16	3	0	14	4	0	12	3	0	12	3	0	13	4	0	13	1	0	9	2	0	11	2	0	24	3	0	10	1	0	15	3	0	22	0	0	1	11	3	0	0	16	4	0	0	18	3	1
14038	Guachinango	5	0	0	9	0	0	4	0	0	2	0	0	3	1	0	6	1	0	2	0	0	6	0	0	5	2	0	1	0	0	1	0	0	4	0	0	2	0	0	0	0	0	2	0	0	1	0	0	3	1	0	3	0	0	2	1	0	0	4	5	1	0	1	7	1	2
14039	Guadalajara	1348	346	0	1335	324	0	1324	246	0	1333	279	0	1086	204	0	1128	244	0	1009	242	0	977	172	0	954	154	0	942	145	0	911	138	0	888	123	0	831	124	0	863	130	0	801	116	0	714	97	0	760	86	0	746	79	0	1	750	133	0	2	759	147	0	3	811	253	8
14040	Hostotipaquillo	15	4	0	9	3	0	8	4	0	10	4	0	4	1	0	3	2	0	11	4	0	5	1	0	2	0	0	8	4	0	9	2	0	2	0	0	5	2	0	4	1	0	13	0	0	6	1	0	5	0	0	2	1	0	1	6	0	0	0	8	2	0	1	5	1	3
14041	Huejèªcar	5	2	0	2	1	0	4	0	0	5	2	0	9	0	0	1	0	0	6	0	0	2	0	0	6	1	0	10	1	0	6	0	0	5	0	0	5	0	0	5	0	0	2	0	0	5	0	0	3	0	0	3	0	0	1	1	0	0	0	8	0	0	1	5	0	8
14042	Huejuquilla el Alto	6	0	0	10	3	0	19	4	0	13	1	0	9	1	0	10	3	0	12	0	0	7	1	0	6	2	0	11	2	0	7	2	0	6	3	0	8	2	0	13	4	0	10	0	0	3	1	0	8	1	0	12	4	0	0	4	0	0	0	11	4	0	1	6	0	5
14043	La Huerta	28	5	0	38	8	0	42	17	0	25	11	0	28	14	0	25	9	0	21	6	0	21	7	0	16	3	0	17	6	0	15	5	0	19	1	0	21	9	0	21	3	0	21	6	0	9	3	0	16	4	0	22	2	0	0	20	4	0	0	34	10	0	0	40	17	3
14044	Ixtlahuacåán de los Membrillos	12	1	0	17	5	0	19	3	0	9	0	0	13	1	0	14	5	0	11	0	0	21	0	0	19	1	0	16	1	0	8	1	0	16	1	0	10	2	0	15	1	0	21	3	0	13	2	0	24	3	0	14	1	0	1	16	0	0	0	25	4	0	0	31	4	0
14045	Ixtlahuacåán del RÌÎo	17	5	0	11	0	0	10	5	0	16	2	0	16	5	0	6	2	0	14	1	0	20	2	0	18	4	0	15	0	0	1	0	0	16	2	0	11	2	0	12	1	0	13	2	0	19	2	0	10	1	0	11	0	0	2	18	2	0	0	12	2	0	5	21	3	2
14046	Jalostotitlåán	17	0	0	13	4	0	26	2	0	14	2	0	17	3	0	13	4	0	13	1	0	21	2	0	19	2	0	16	1	0	16	1	0	21	1	0	21	1	0	17	0	0	13	1	0	19	3	0	10	1	0	19	1	0	8	17	3	0	7	15	1	0	7	10	1	9
14047	Jamay	20	0	0	12	0	0	24	8	0	18	2	0	9	0	0	24	3	0	11	1	0	10	2	0	9	0	0	7	0	0	11	1	0	18	2	0	15	1	0	10	1	0	19	0	0	15	1	0	12	1	0	7	1	0	3	21	1	0	0	18	2	0	1	11	0	1
14048	Jesèªs MarÌÎa	16	1	0	13	0	0	15	0	0	15	1	0	14	1	0	14	2	0	7	0	0	8	0	0	4	0	0	14	0	0	11	0	0	16	2	0	19	0	0	10	0	0	9	1	0	14	0	0	6	0	0	21	1	0	2	17	3	0	1	18	2	0	4	24	1	2
14049	Jilotlåán de los Dolores	11	3	0	7	4	0	7	3	0	7	4	0	8	6	0	9	6	0	8	6	0	11	7	0	9	4	0	7	6	0	6	3	0	6	4	0	6	2	0	8	5	0	8	1	0	7	1	0	8	1	0	4	1	0	2	2	0	0	1	7	5	0	0	6	1	0
14050	Jocotepec	13	4	0	22	2	0	24	3	0	15	1	0	13	0	0	29	4	0	21	6	0	20	1	0	20	4	0	22	4	0	29	4	0	15	0	0	17	2	0	24	2	0	20	6	0	19	1	0	18	0	0	22	1	0	5	30	6	0	3	14	1	0	6	31	3	0
14051	Juanacatlåán	5	1	0	5	0	0	12	1	0	4	1	0	4	1	0	8	0	0	8	0	0	9	0	0	6	2	0	5	0	0	2	0	0	3	0	0	6	0	0	6	0	0	5	1	0	2	0	0	5	0	0	4	1	0	2	4	0	0	17	3	0	0	13	6	1	5
14052	Juchitlåán	2	0	0	6	1	0	3	0	0	1	0	0	4	0	0	4	2	0	3	0	0	4	0	0	2	1	0	8	1	0	4	0	0	2	0	0	0	0	0	0	0	0	2	0	0	1	0	0	2	0	0	2	0	0	3	5	0	0	0	1	0	0	0	7	1	0
14053	Lagos de Moreno	102	10	0	126	5	0	118	9	0	126	7	0	98	8	0	71	2	0	78	5	0	63	6	0	65	7	0	82	6	0	75	4	0	77	10	0	73	6	0	66	7	0	82	7	0	91	7	0	87	7	0	65	4	0	1	69	3	0	3	85	10	0	2	90	16	2
14054	El LimÌ_n	5	0	0	10	0	0	6	0	0	3	2	0	7	2	0	4	1	0	4	1	0	6	2	0	5	0	0	0	0	0	2	1	0	2	0	0	5	0	0	5	1	0	3	1	0	1	0	0	4	1	0	1	1	0	3	3	0	0	1	3	0	0	1	5	0	15
14055	Magdalena	21	4	0	16	3	0	14	4	0	22	2	0	21	4	0	9	3	0	7	1	0	11	2	0	14	5	0	14	3	0	10	3	0	14	7	0	12	4	0	22	5	0	9	0	0	15	2	0	8	0	0	14	0	0	1	13	0	0	0	15	6	0	3	22	5	1
14056	Santa MarÌÎa del Oro	2	0	0	2	1	0	3	1	0	7	5	0	6	2	0	3	1	0	3	2	0	2	2	0	2	0	0	1	1	0	2	0	0	2	0	0	3	0	0	1	0	0	3	2	0	0	0	0	0	0	0	3	3	0	2	0	0	0	2	1	1	0	3	3	1	4
14057	La Manzanilla de la Paz	4	0	0	2	1	0	1	0	0	2	0	0	1	0	0	4	0	0	2	0	0	1	0	0	1	0	0	4	1	0	1	0	0	2	0	0	3	2	0	3	0	0	8	1	0	1	1	0	6	1	0	3	0	0	10	0	0	0	3	1	0	0	4	2	0	25
14058	Mascota	15	5	0	10	2	0	12	0	0	20	4	0	10	3	0	8	2	0	7	1	0	10	3	0	7	0	0	12	6	0	7	1	0	11	0	0	10	1	0	9	1	0	11	0	0	6	1	0	10	2	0	11	1	0	0	6	1	0	0	12	2	0	1	13	5	0
14059	Mazamitla	9	3	0	6	1	0	5	3	0	2	0	0	10	5	0	7	1	0	9	0	0	3	1	0	8	2	0	7	0	0	9	0	0	13	3	0	5	2	0	3	0	0	13	2	0	15	5	0	10	2	0	6	2	0	1	4	0	0	0	7	0	0	1	5	2	0
14060	Mexticacåán	3	0	0	8	0	0	4	0	0	11	1	0	10	1	0	1	0	0	4	0	0	2	0	0	2	0	0	3	0	0	9	1	0	2	1	0	4	0	0	3	0	0	0	0	0	5	3	0	3	0	0	3	0	0	3	2	0	0	1	4	0	0	4	5	1	2
14061	Mezquitic	2	0	0	9	1	0	6	1	0	14	5	0	8	3	0	5	3	0	12	6	0	13	0	0	4	2	0	6	3	0	1	0	0	5	0	0	9	4	0	2	1	0	8	2	0	14	3	0	12	2	0	11	3	0	0	22	4	0	0	15	2	0	1	12	1	0
14062	Mixtlåán	1	0	0	6	3	0	3	1	0	2	1	0	2	1	0	2	0	0	2	0	0	2	2	0	3	3	0	3	0	0	3	0	0	4	0	0	3	0	0	3	0	0	2	0	0	2	0	0	2	0	0	3	0	0	0	4	1	0	1	3	0	0	4	1	0	3
14063	Ocotlåán	67	11	0	33	2	0	73	18	0	66	12	0	48	8	0	47	3	0	47	3	0	39	12	0	51	13	0	37	5	0	45	5	0	30	6	0	29	3	0	47	6	0	57	2	0	50	4	0	49	9	0	50	6	0	2	63	5	0	3	67	18	0	1	55	15	3
14064	Ojuelos de Jalisco	15	0	0	18	0	0	21	3	0	13	1	0	9	0	0	17	1	0	17	3	0	14	1	0	9	1	0	18	0	0	15	2	0	16	1	0	23	0	0	16	0	0	11	0	0	18	0	0	13	0	0	15	1	0	10	22	1	0	2	31	5	0	2	11	0	2
14065	Pihuamo	20	6	0	23	10	0	33	17	0	14	5	0	18	10	0	14	4	0	16	12	0	9	0	0	14	4	0	18	8	0	6	1	0	10	5	0	15	5	0	10	3	0	10	4	0	6	4	0	11	3	0	13	5	0	0	11	2	0	2	10	5	0	1	8	1	2
14066	Poncitlåán	24	1	0	21	1	0	26	3	0	34	1	0	23	0	0	35	9	0	22	2	0	27	2	0	24	6	0	32	6	0	15	0	0	28	4	0	24	3	0	25	3	0	28	6	0	36	3	0	30	3	0	41	1	0	3	34	4	0	0	40	2	0	0	20	2	0
14067	Puerto Vallarta	98	17	0	82	15	0	106	27	0	72	14	0	105	22	0	78	24	0	92	24	0	93	16	0	79	13	0	93	7	0	107	20	0	113	20	0	81	12	0	103	18	0	105	15	0	121	17	0	116	13	0	116	17	0	2	154	39	0	2	130	29	0	1	139	44	0
14068	Villa PurificaciÌ_n	13	7	0	7	5	0	16	7	0	15	8	0	12	5	0	11	3	0	11	6	0	6	2	0	6	2	0	9	5	0	10	2	0	7	1	0	12	4	0	12	3	0	4	1	0	5	0	0	18	10	0	8	1	0	57	6	2	0	29	7	2	0	80	7	1	37
14069	Quitupan	6	1	0	12	4	0	9	0	0	24	5	0	5	0	0	12	8	0	8	1	0	7	0	0	6	0	0	7	1	0	12	2	0	6	1	0	8	0	0	11	3	0	4	0	0	6	2	0	5	1	0	8	2	0	0	9	2	0	3	9	1	0	2	10	2	5
14070	El Salto	32	3	0	46	10	0	29	4	0	49	9	0	55	9	0	65	18	0	63	16	0	80	16	0	50	7	0	55	6	0	49	6	0	61	5	0	68	5	0	58	8	0	53	8	0	70	7	0	67	9	0	79	12	0	0	83	10	0	0	82	11	0	1	105	27	2
14071	San CristÌ_bal de la Barranca	4	1	0	5	0	0	5	0	0	3	0	0	4	1	0	2	0	0	4	1	0	4	0	0	6	0	0	6	1	0	3	0	0	1	0	0	2	0	0	4	1	0	1	0	0	2	1	0	3	3	0	3	0	0	1	1	1	0	4	3	0	0	4	3	0	8
14072	San Diego de AlejandrÌÎa	7	1	0	3	1	0	5	1	0	7	2	0	13	2	0	5	1	0	5	0	0	3	1	0	5	0	0	2	0	0	1	0	0	5	0	0	6	0	0	2	0	0	3	0	0	3	0	0	2	0	0	6	0	0	1	7	0	0	0	2	0	0	6	3	1	7
14073	San Juan de los Lagos	62	0	0	38	4	0	40	5	0	54	2	0	38	3	0	25	2	0	26	0	0	30	2	0	31	1	0	32	4	0	34	0	0	34	3	0	42	4	0	41	2	0	31	1	0	37	7	0	35	5	0	40	2	0	1	42	0	0	1	42	0	0	1	34	2	1
