"","Lat","Lon","DocsPerMedUnit","AvEduc05","ReadWrite05","MissReadWrite05","IndLang05","MissIndLang05","PopMun06","Hom90","Hom91","Hom92","Hom93","Hom94","Hom95","Hom96","Hom97","Hom98","Hom99","Hom00","Hom01","Hom02","Hom03","Hom04","Hom05","Hom06","Hom07","Hom08","Hom09","Hom10","PartyMunBC","Inc06","StatePop06","StateHom06","StateGDP06","missIndDocsPerUnit","treated","Regions","clave"
"1",21.8817964,-102.2912701,32.1,9.3,0.957025038863428,0.00293150512448404,0.00308195513693294,1.87844739530133,737836.4,6.51820950710485,6.51859736656335,4.28389004036542,4.34620570808927,4.22895267872435,5.14732502097535,3.69781832080725,3.12981930400067,3.87608041704041,2.37604716358578,2.02045634337811,2.57832105193072,3.40605205099126,1.88080499611252,1.97986701516097,2.21286977399684,2.57509659322853,4.78322808902863,6.12439133974579,6.00856591384023,8.40641899097878,"PAN",2356.07130794848,1089332,2.38678382715279,104722669,FALSE,0,0,1001
"2",22.2384759,-102.0890156,3.2,6.7,0.919690031701303,0.00331689562052366,0.00213001618812303,3.50666666666667,41536,3.10318076027929,12.1460932091193,14.8633463932604,8.73433642334746,2.85269265659856,5.59252838208154,0,0,2.70543738806253,5.35291787553395,5.29618939173265,7.82885088126765,0,2.5359213255768,0,7.39882112116803,4.81510015408321,0,6.8943328583904,2.24703952542525,0,"PAN",1640.09598902157,1089332,2.38678382715279,104722669,FALSE,0,0,1002
"3",21.8468345,-102.7186454,6.8,6.3,0.913477382969341,0.00109081625548309,0.0027975814457179,1.2258064516129,50973.6,12.3864574731627,4.07468074876333,6.0329155874451,0,0,3.87161717449379,0,0,0,1.94687371019617,1.94965978436763,3.91623947021112,0,1.97526182095437,1.98394590969872,3.98541338700357,0,0,0,0,3.69439929067534,"PAN",2399.02871290237,1089332,2.38678382715279,104722669,FALSE,0,0,1003
"4",22.3656529,-102.2997344,2.8,7.1,0.925967616243831,0.000779288250064941,0.00176559609887338,5.52380952380952,13958,0,0,0,0,0,0,8.17487696810163,16.2216526619732,0,0,0,0,7.66506722263954,7.54159187921386,0,0,0,7.02790076604118,0,6.77002234107373,13.2961042414573,"PAN",2887.26730190572,1089332,2.38678382715279,104722669,FALSE,1,11,1004
"5",21.9598912,-102.3430316,5.8,7.7,0.932528346340745,0.00142836106611692,0.00277884656491813,1.77948717948718,86016.4,4.86712742139589,2.28473250351849,4.30611295795511,4.07146230640197,1.93053174566403,0,1.77304335800228,5.14364485532642,3.31957921013932,0,1.56013541975443,0,0,0,1.26714125330407,4.84126695956332,3.48770699541018,1.11844562900264,4.31019620013103,10.3953777992154,2.00823375840948,"PAN",1819.72665677708,1089332,2.38678382715279,104722669,FALSE,0,0,1005
"6",22.1459657,-102.2760701,13.9,8,0.930617479997557,0.00079399010566176,0.00210283141807843,2.11267605633803,39502,3.83862423707343,7.36084325820366,3.53474298883728,0,3.2754452967881,3.15955766192733,3.10759745425617,0,12.0345632656991,2.96148879964936,2.91579192908794,0,2.76683341449378,10.7916774583441,2.63235479930927,0,2.53151739152448,2.4942631946523,7.3742687183521,4.84590036828843,7.16640389852372,"PAN",2011.62986684219,1089332,2.38678382715279,104722669,FALSE,1,11,1006
"7",22.2292624,-102.3205376,13.7,7.9,0.925049774703972,0.00162422718222781,0.00251793071875477,1.03030303030303,46208,2.96024392409935,5.75122501092733,5.59137139566221,5.44016364012229,2.64845939117216,2.58051197357556,2.54242028241205,2.50543679785134,9.87805540601277,4.86921294042031,2.4006721882127,4.71495725891245,2.31581190049419,4.55118490098897,2.23674616062522,0,0,8.52060922355948,6.29168239587266,8.26121976909891,4.06867930669705,"PRI",2118.37681786704,1089332,2.38678382715279,104722669,FALSE,1,11,1007
"8",22.1475929,-102.4129804,2,7.3,0.930842852732325,0.000926211793763507,0.002249550089982,1.4,7793.4,14.8367952522255,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2387206100402,13.1044424059756,0,0,0,0,11.8441312329741,"PAN",3831.4874124259,1089332,2.38678382715279,104722669,FALSE,1,11,1008
"9",22.2242232,-102.1738881,2.4,6.7,0.925679347826087,0.000679347826086957,0.00171323141802847,1.34615384615385,17831.2,0,6.63033244486879,0,0,6.28859625954295,6.18238021638331,0,0,12.2138896352933,0,6.05766900896535,0,0,0,0,0,0,5.46734899182085,5.33344711353842,0,5.08440105755542,"PAN",2192.79302570775,1089332,2.38678382715279,104722669,FALSE,1,11,1009
"10",21.912105,-102.048837,1.9,6.4,0.914734016929324,0.00220218842474709,0.00293548602308359,2.25,17457.6,21.2097764031799,0,0,23.3459401410095,0,0,6.90235922638358,0,13.4161557347358,0,6.52443400535004,6.37568060390447,6.2335589881687,12.1952706740326,0,0,5.72816423792503,0,0,5.40967466216582,10.6224771616741,"PAN",2228.53817248648,1089332,2.38678382715279,104722669,FALSE,0,0,1010
"11",22.0686684,-102.2702329,3.8,7.3,0.927036629726757,0.000803654513154555,0.00347890148569558,1.04705882352941,30219.4,21.2097764031799,0,0,18.6887941989983,7.00829782462436,5.60663825969948,0,0,0,0,0,0,0,3.94857377515242,3.6929258312776,0,0,3.16387612792184,3.03083572264216,5.81706494171301,5.59143392322961,"PAN",2484.93206350887,1089332,2.38678382715279,104722669,FALSE,0,0,1011
"12",31.859577,-116.606428,8,8.6,0.929488043063888,0.00265423057409918,0.0484173718441849,0.147215160619367,424147.6,14.2319187318976,12.913175497434,19.4964250646041,8.86872580287551,18.0786057779224,19.3473289585111,15.0133036253758,12.7420470365258,20.9436941692755,21.1321375880112,13.7566423003264,9.49166341928738,9.79809731263975,8.82989732595389,12.594744583519,9.43211417211432,12.9671840651698,12.4190976283663,16.1623127192014,18.8535547939109,13.9241753674911,"PRD",1858.08761148242,2906589.2,14.9315906079882,297254110,FALSE,1,1,2001
"13",32.6455704,-115.4453421,18.2,9.2,0.95038426779045,0.00416342977507892,0.00509010981746668,1.85768398268398,872134.8,14.1210556568949,11.9209249606771,13.9154602952829,10.3281370653145,12.8467363678407,13.505087395156,13.6668302929098,10.3668310062793,18.8557720638307,20.3758641097665,12.6863387749443,15.7113405222296,12.6069405576512,12.447859334308,12.0569661808067,12.1500720826392,8.71424921927207,6.30412258096182,12.051117967841,22.5926548672182,13.3429260076044,"PRD",2277.30052280909,2906589.2,14.9315906079882,297254110,FALSE,0,0,2002
"14",32.5685837,-116.6346969,9.2,8.3,0.931605575904503,0.0170887243405623,0.013728946589637,1.46672914714152,93043,19.3960083014916,13.018072804502,7.14466882673821,17.1820715392731,28.1388935787045,30.3373836401667,13.7065160777434,17.4684185549542,23.7004486355512,20.0637223822861,24.4231634423806,28.5917446931236,13.2385612813002,12.8297239043416,14.7081784260439,9.88641606432761,15.0468063153596,17.884947186803,39.1506372281349,78.7322095488039,36.6050317078721,"PRD",2443.58412776888,2906589.2,14.9315906079882,297254110,FALSE,1,1,2003
"15",32.533489,-117.018204,22.9,8.8,0.950878310551715,0.00633972554696461,0.00944187284316335,1.26947601885223,1440486.2,15.5208655290943,20.4716466438054,16.5667651284741,18.0108100658278,17.0777018462375,19.5644983017209,18.832617243183,16.863043916555,27.4233907989894,29.2208637995829,19.3257461885334,15.9099016672138,18.6710721100047,19.1622677364072,19.8436785043936,17.2965370773247,18.8130924128256,14.0108852335744,48.3972703939498,70.7896900405116,79.6956817507147,"PRD",2176.04059934764,2906589.2,14.9315906079882,297254110,FALSE,1,1,2004
"16",32.3587909,-117.048203,6.3,8.1,0.941128456279971,0.00539060640070741,0.0117861281244827,1.18960674157303,76777.6,21.2097764031799,0,0,0,0,0,14.0109846119358,11.2516314865656,17.6396709142994,16.6513474270338,15.7678965625985,7.64561065492301,17.8110250244902,23.0710443973411,7.00986989681472,20.4624514016779,23.4443379318968,22.4298506421168,70.4706483777418,49.3145280599665,36.3965235805356,"PAN",3490.62199130997,2906589.2,14.9315906079882,297254110,FALSE,1,1,2005
"17",26.0707889,-111.8442001,5.9,7.9,0.927366540980353,0.000865972685778203,0.00678772919605078,1.55324675324675,65227.2,2.69012455276679,8.25354902608121,9.85277144385328,5.76402098103637,2.95220382015174,7.56475429678044,6.09295410786966,6.13466823714174,1.54423936945618,9.32975070906105,9.39496429913566,4.69798237317014,7.83080450553168,3.132655426699,3.13298912226177,3.1333228889237,1.53310275467903,10.5066612232155,2.94024251120232,7.20265979821028,9.88477180298238,"PAN",3481.77379988716,537141.2,4.84044046518867,54605381,FALSE,0,0,3001
"18",26.890594,-111.981083,5.6,7.4,0.920989304812834,0.00311942959001783,0.0524952098937467,0.191621733720448,54017.2,2.59551495016611,4.99812570286143,0,2.32617646374654,4.49680726684054,8.7026521332376,8.70166767460984,13.0510251580262,2.17492485634621,8.69871563463655,4.34886603318185,8.44954985023173,6.16135352614262,5.99503611010084,7.78328228797366,5.68795859166145,7.4050487622461,5.42579858712205,3.53571782143211,5.18673992648661,10.1498798930879,"PRI",2884.86533918826,537141.2,4.84044046518867,54605381,FALSE,0,0,3002
"19",24.138533,-110.317379,15.5,9.7,0.959626210434063,0.00303247001134488,0.0112366061551105,0.80168776371308,226051,3.10616885133876,2.4204342743175,1.76939790927943,5.17721015101347,7.85949910289432,7.67468122663334,4.85657456083076,7.43835727067545,4.18604018389275,7.21615263606056,4.06283169211861,3.47489734160425,7.28216849384365,4.75013347875075,6.50986570147058,6.37534381318421,4.42378047431774,3.01067499333351,4.18478329099728,5.29712814160446,9.52868730421525,"PRI",2565.55387058673,537141.2,4.84044046518867,54605381,FALSE,0,0,3003
"20",22.8905327,-109.9167371,9.8,8.9,0.940353321571092,0.0143721462051628,0.0156589501285271,1.64063969896519,179027,6.83060109289617,8.10665110189655,16.4340337883735,11.630495824652,12.1934862396508,14.0783601526094,10.2671249226757,10.6124316382529,7.63410394159692,9.12951124654347,13.2740426096768,5.11912196820001,9.30620677460833,4.97566190519516,7.87280693121922,8.52816120661298,6.14432459908282,7.73626554989375,10.059542913531,5.81338150986933,8.38620134430808,"PRI",6057.7409999609,537141.2,4.84044046518867,54605381,FALSE,0,0,3008
"21",26.0117564,-111.3477531,5.8,8.5,0.947459584295612,0.00153964588144727,0.00376506024096386,5.225,12818.8,21.2097764031799,0,0,0,0,10.0140196274785,0,18.662983837856,0,8.73606597477024,0,8.46209826188502,0,16.9087435112697,0,0,0,14.4942240517154,6.76663238239593,6.34590245078753,0,"PAN",12370.0427497114,537141.2,4.84044046518867,54605381,FALSE,0,0,3009
"22",20.3666667,-90.05,4.3,7.4,0.832056917569221,0.000928988988081751,0.579107190353755,0.00271749531136372,50458,5.14363603631407,2.50839056644476,2.4480163723335,2.3904801518433,2.33558639567636,6.84947144911984,0,2.22029796398677,4.38029742219497,6.48242183279673,10.6612081281051,0,2.07989284392068,0,2.03005290317866,4.01203610832497,0,3.91650021540751,0,0,1.89071658158442,"PAN",2845.24969281383,768272.2,4.16519041037799,620541539,FALSE,0,0,4001
"23",19.8454459,-90.5236731,13.7,9,0.922497829768461,0.00463931463376453,0.0582399762096156,0.122626456039572,242881,9.79008897463215,9.45376165176124,15.5913810845365,15.6105439858298,12.0994941403158,11.7340478064664,10.144643290188,7.16063597904511,13.6823819045309,8.86094013642117,5.53257998035934,6.77850905337669,8.41906750408325,4.34652590877164,2.13256538232206,5.86141930081641,3.70551834025716,2.02501296008294,7.17294365652758,5.0985590687678,3.86092932568869,"PRI",2706.6310744768,768272.2,4.16519041037799,620541539,FALSE,0,0,4002
"24",18.2666669,-91.8000001,4,8.5,0.912281006774809,0.00638651760928653,0.0169019663318716,0.559758955473719,204209.2,35.2852963229781,24.1770812322298,13.0296215416127,14.1776121942259,18.7179601167065,17.8084478824642,12.9092223484457,22.0782543913082,11.4206357182666,15.553102901633,12.2039099002766,7.88029161582002,8.73167984422683,9.00313097119422,4.62949626965478,8.50051003060184,6.36602072776349,10.5550821761125,6.11328576883503,12.9107937924903,9.04592616715062,"PAN",4150.3447445071,768272.2,4.16519041037799,620541539,FALSE,0,0,4003
"25",19.3482882,-90.7177236,2.9,6.4,0.851723773425348,0.000619138943839567,0.111333765544881,0.0189253573319217,77497,20.8808953727936,17.6914074195041,15.9727398573102,10.4201943366244,6.37592450905381,12.4896960007993,20.4698862386072,10.4902624139143,13.4483073960311,9.66098232868318,14.1735408339711,6.97677014612147,6.87013251111587,6.76670564289117,10.6661546912415,6.56892112039519,5.16149012219828,7.60668373944573,8.72176329134427,2.44977951984321,10.8406306838029,"PAN",2393.98383163219,768272.2,4.16519041037799,620541539,FALSE,0,0,4004
"26",20.177339,-90.135364,2.9,7.5,0.852689666793041,0.00063187160369013,0.460504617414248,0.00223813786929275,27239.6,9.8570724494825,0,9.28470623189482,0,4.38758138963478,4.2704018448136,0,0,8.23038493510341,8.13186634464476,0,0,0,0,0,0,0,3.63554398644669,7.20129047125245,0,3.53281989684166,"PAN",3072.42360387084,768272.2,4.16519041037799,620541539,FALSE,0,0,4005
"27",19.7472419,-89.8424644,3,6.4,0.831591289782245,0.000904522613065327,0.502215272348189,0.0123248572911261,35305,0,8.02873215614278,18.2004440908358,7.58429948881821,7.38003749059045,9.58198586657085,7.56834212942874,10.6574018320074,2.82275365264323,3.00118246589156,3.20369065163068,3.13395134853927,0,3.00320141270594,2.94183405702451,5.76584887710093,0,5.56746374189238,0,5.38227616459,0,"PAN",2657.1008922249,768272.2,4.16519041037799,620541539,FALSE,0,0,4006
