Chiapas	Bella Vista	16.7403279	-93.1592017	7011
Chiapas	Berriozabal	16.8	-93.2666667	7012
Chiapas	Bochil	16.994722	-92.891994	7013
Chiapas	El Bosque	17.0624692	-92.7209999	7014
Chiapas	Cacahoatan	14.9882917	-92.1651776	7015
Chiapas	Catazaja	17.7235734	-92.0113139	7016
Chiapas	Cintalapa	16.6432854	-93.7622204	7017
Chiapas	Coapilla	17.1306334	-93.1601864	7018
Chiapas	Comitan de Dominguez	15.7666667	-92.2666667	7019
Chiapas	La Concordia	16.1166427	-92.6881991	7020
Chiapas	Copainala	17.092326	-93.209237	7021
Chiapas	Chalchihuitan	16.960937	-92.618891	7022
Chiapas	Chamula	16.7840104	-92.6896326	7023
Chiapas	Chanal	16.6536697	-92.2560136	7024
Chiapas	Chapultenango	17.3393929	-93.1296999	7025
Chiapas	Chenalho	16.8981342	-92.6241534	7026
Chiapas	Chiapa de Corzo	16.7069444	-93.0138889	7027
Chiapas	Chiapilla	16.5686207	-92.7212051	7028
Chiapas	Chicoasen	16.9067079	-93.0926899	7029
Chiapas	Chicomuselo	15.7427507	-92.2844891	7030
Chiapas	Chilon	17.1046837	-92.2736561	7031
Chiapas	Escuintla	15.3232503	-92.6586163	7032
Chiapas	Francisco Leon	17.315983	-93.257079	7033
Chiapas	Frontera Comalapa	15.6582577	-92.1427249	7034
Chiapas	Frontera Hidalgo	14.7758049	-92.1764046	7035
Chiapas	La Grandeza	15.5158375	-92.2259721	7036
Chiapas	Huehuetan	15.0196034	-92.3931781	7037
Chiapas	Huixtan	16.7111487	-92.4542569	7038
Chiapas	Huitiupan	17.1705587	-92.6853429	7039
Chiapas	Huixtla	15.1385534	-92.4646701	7040
Chiapas	La Independencia	16.5255199	-91.7737811	7041
Chiapas	Ixhuatan	17.2925874	-93.0085731	7042
Chiapas	Ixtacomitan	17.4295464	-93.0973264	7043
Chiapas	Ixtapa	16.8067759	-92.9026534	7044
Chiapas	Ixtapangajoya	17.495665	-93.001862	7045
