"","State","Municipality","Lat","Lon","Clave","ConsultsPerDoc","ConsultsPerMedUnit","DocsPerMedUnit","AvEduc05","ReadWrite05","MissReadWrite05","IndLang05","MissIndLang05","Hom06","PopMun06","PartyMunBC","Inc06","Exp06","StatePop06","StateHom06","StateGDP06"
"24","Campeche","Carmen",18.2666669,-91.8000001,4003,1158,4649,4,8.5,0.912281006774809,0.00638651760928653,0.0169019663318716,0.559758955473719,13,204209.2,"PAN",847538580,847538580,768272.2,32,620541539
"25","Campeche","Champoton",19.3482882,-90.7177236,4004,1819.1,5317.3,2.9,6.4,0.851723773425348,0.000619138943839567,0.111333765544881,0.0189253573319217,4,77497,"PAN",185526565,185526565,768272.2,32,620541539
"26","Campeche","Hecelchakan",20.177339,-90.135364,4005,3518.9,10236.9,2.9,7.5,0.852689666793041,0.00063187160369013,0.460504617414248,0.00223813786929275,0,27239.6,"PAN",83691590,83691590,768272.2,32,620541539
"27","Campeche","Hopelchen",19.7472419,-89.8424644,4006,1485.3,4455.9,3,6.4,0.831591289782245,0.000904522613065327,0.502215272348189,0.0123248572911261,0,35305,"PAN",93808947,93808947,768272.2,32,620541539
"28","Campeche","Palizada",18.2545777,-92.0914799,4007,1205.1,2711.4,2.3,6.5,0.875291855514352,0.000549375085839857,0.0055055727138445,0.317073170731707,0,8302.4,"PRI",53762043,53762043,768272.2,32,620541539
"29","Campeche","Tenabo",20.0409674,-90.2255519,4008,1920.6,5377.8,2.8,7,0.85043216835776,0.00212952524113742,0.20666830105418,0.0154211150652432,1,9187.2,"PRI",50274232,50274232,768272.2,32,620541539
"30","Campeche","Escarcega",18.6064587,-90.7378016,4009,2196.7,6956.3,3.2,6.3,0.846015717917026,0.00160910426529232,0.0659430306601101,0.0687285223367698,1,50921.6,"PAN",149628179,149628179,768272.2,32,620541539
"31","Campeche","Calakmul",18.1124343,-89.8099566,4010,1925.2,3080.3,1.6,5.2,0.78730798287585,0.0017124150088139,0.319187205288999,0.00715808711544319,1,24427.6,"PRI",87512301,87512301,768272.2,32,620541539
"32","Campeche","Candelaria",18.1859479,-91.0431269,4011,1813.4,3056.9,1.7,5.4,0.814041085050486,0.00113949292564809,0.0641293013555787,0.0420851267336203,3,37843.6,"PRI",111910715,111910715,768272.2,32,620541539
"33","Coahuila de Zaragoza","Abasolo",27.1810339,-101.4246049,5001,NA,NA,NA,7,0.947893569844789,0,0.0065359477124183,0,0,1006.8,"PAN",13224908,13224908,2545838.2,110,315418288
"34","Coahuila de Zaragoza","Acuna",29.3233299,-100.9513806,5002,NA,NA,NA,8,0.946241944323701,0.00153081473361934,0.00468035901106767,1.15098039215686,9,128341.4,"Other",213680437,213680437,2545838.2,110,315418288
"35","Coahuila de Zaragoza","Allende",28.34407,-100.851898,5003,NA,NA,NA,8.1,0.951016423567245,0.000229700241185253,0.00191021967526266,0.5,0,20657.4,"PRI",38535436,38535436,2545838.2,110,315418288
"36","Coahuila de Zaragoza","Arteaga",25.4501332,-100.8490524,5004,NA,NA,NA,6.5,0.916817359855335,0.00122498979175174,0.0018796992481203,4.84848484848485,0,20206.4,"PRI",44704340,44704340,2545838.2,110,315418288
"37","Coahuila de Zaragoza","Candela",26.8388667,-100.6658581,5005,NA,NA,NA,6.2,0.884537474679271,0.00135043889264011,0.00131492439184747,1,0,1699.2,"PRI",11926771,11926771,2545838.2,110,315418288
"38","Coahuila de Zaragoza","Castanos",26.78005,-101.425697,5006,NA,NA,NA,8.2,0.957242499522263,0.00272310338238104,0.00149218932152017,5.78125,1,24275.2,"PRI",38179914,38179914,2545838.2,110,315418288
"39","Coahuila de Zaragoza","Cuatro Cienegas",26.9865592,-102.0636864,5007,NA,NA,NA,7.5,0.931304183942706,9.42329438371655e-05,0.00128087831655993,0.428571428571429,0,12378.6,"PRI",26018956,26018956,2545838.2,110,315418288
"40","Coahuila de Zaragoza","Escobedo",27.2353087,-101.4129446,5008,NA,NA,NA,6.6,0.920065252854812,0.00122349102773246,0.00159426066161817,2.75,0,2802.6,"PAN",13527122,13527122,2545838.2,110,315418288
"41","Coahuila de Zaragoza","Francisco I. Madero",25.7722629,-103.2694309,5009,NA,NA,NA,7.7,0.927066341921212,0.00055862176837307,0.00154498966380155,1.05633802816901,0,52357.6,"PRI",65279883,65279883,2545838.2,110,315418288
"42","Coahuila de Zaragoza","Frontera",26.9279782,-101.4583701,5010,NA,NA,NA,8.6,0.959876896884771,0.000933095421284398,0.00134136020312026,1.85714285714286,4,71171,"PRI",103184728,103184728,2545838.2,110,315418288
"43","Coahuila de Zaragoza","General Cepeda",25.3751299,-101.4739959,5011,NA,NA,NA,6.1,0.886363636363636,0.000100563153660499,0.000589564704726344,1.66666666666667,2,11363.6,"PRI",30355397,30355397,2545838.2,110,315418288
"44","Coahuila de Zaragoza","Guerrero",28.3089889,-100.3807826,5012,NA,NA,NA,6.3,0.910248635536689,0,0.00355871886120996,0,1,1919.8,"PRI",17249547,17249547,2545838.2,110,315418288
"45","Coahuila de Zaragoza","Hidalgo",27.7881397,-99.8741126,5013,NA,NA,NA,6.4,0.914149443561208,0.000794912559618442,0.0015420200462606,0.5,0,1583.2,"PRI",12345822,12345822,2545838.2,110,315418288
"46","Coahuila de Zaragoza","Jimenez",29.0693962,-100.6771871,5014,NA,NA,NA,6,0.932231404958678,0.000118063754427391,0.00126801152737752,3.90909090909091,2,9801.4,"PRD",18582510,18582510,2545838.2,110,315418288
