Área Geográfica Clave	Nombre	Party previous before 2006	Party first in Calderon period	Party last in Calderon period	2007 Sketch Strafor Cartel	2010 Sketch Strafor Cartel	Intervention Indicator	Ingresos y Egresos Públicos (Pesos) 1990 Partida Egresos	Ingresos	1991 Partida Egresos	Ingresos2	1992 Partida Egresos	Ingresos3	1993 Partida Egresos	Ingresos4	1994 Partida Egresos	Ingresos5	1995 Partida Egresos	Ingresos6	1996 Partida Egresos	Ingresos7	1997 Partida Egresos	Ingresos8	1998 Partida Egresos	Ingresos9	1999 Partida Egresos	Ingresos10	2000 Partida Egresos	Ingresos11	2001 Partida Egresos	Ingresos12	2002 Partida Egresos	Ingresos13	2003 Partida Egresos	Ingresos14	2004 Partida Egresos	Ingresos15	2005 Partida Egresos	Ingresos16	2006 Partida Egresos	Ingresos17	2007 Partida Egresos	Ingresos18	2008 Partida Egresos	Ingresos19	2009 Partida Egresos	Ingresos20	2010 Partida Egresos	Ingresos21
6009	Tecomán	PAN	PRI	PAN	N	F	0	9493285	9493285	13233690	13233690	18781653	18781653	21121051	21121051	25216975	25216975	21089001	21089001	34810290	34810290	44864337	44864337	79967890	79967890	110737479	110737479	123331820	123331820	143630580	143630580	159893729	159893729	176980841	176980841	172788826	172788826	201671661	201671661	284751682	284751682	248904762	248904762	353563013	353563013	300390894	300390894	335617139	335617139
6010	Villa de Álvarez	PRI	PAN	PAN	N	F	0	3267060	3267060	4973046	4973046	4880699	4880699	6518376	6518376	9747000	9747000	11548000	11548000	17912722	17912722	23969397	23969397	43230066	43230066	62487546	62487546	86486393	86486393	96628784	96628784	99588601	99588601	121598511	121598511	129632746	129632746	142410229	142410229	174419145	174419145	196359634	196359634	231689534	231689534	270567708	270567708	272485814	272485814
7001	Acacoyagua	PRI	PAN	PRI	N	S	0	871041	871041	1039200	1039200	957077	957077	1325779	1325779	1308868	1308868	1483953	1483953	4063288	4063288	3790397	3790397	4795545	4795545	4952172	4952172	7867149	7867149	0	0	0	0	19738566	19738566	24240003	24240003	24986791	24986791	38531360	38531360	49843176	49843176	44346461	44346461	55560234	55560234	41175337	41175337
7002	Acala	PAN	PRI	Other	N	Z	0	1060307	1060307	1125400	1125400	967342	967342	2218642	2218642	3247309	3247309	2082818	2082818	3016020	3016020	4076378	4076378	5633679	5633679	6414858	6414858	8910107	8910107	0	0	32130621	32130621	32135743	32135743	35708726	35708726	43353238	43353238	60269728	60269728	57543285	57543285	55887729	55887729	72841507	72841507	61442645	61442645
7003	Acapetahua	Other	Other	Other	N	S	0	1278021	1278021	1522400	1522400	1674405	1674405	3014000	3014000	2917603	2917603	2922074	2922074	4050030	4050030	6403003	6403003	7404619	7404619	8338323	8338323	12346041	12346041	0	0	28892554	28892554	31589351	31589351	34218752	34218752	37837188	37837188	48019484	48019484	52091228	52091228	65220865	65220865	58331353	58331353	63136119	63136119
7004	Altamirano	Other	PRI	PRI	N	Z	0	1317407	1317407	1816200	1816200	1393990	1393990	1898837	1898837	2949563	2949563	328046	328046	4710284	4710284	5439480	5439480	7923536	7923536	7881112	7881112	10918307	10918307	0	0	41083615	41083615	45142661	45142661	41347252	41347252	44633757	44633757	49366286	49366286	0	0	93403762	93403762	132225937	132225937	89785532	89785532
7005	Amatán	PAN	PRD	PRI	N	Z	0	685625	685625	1282500	1282500	1002150	1002150	1538082	1538082	2065490	2065490	1842037	1842037	2331528	2331528	3617913	3617913	4265641	4265641	5523247	5523247	7660919	7660919	0	0	32346970	32346970	30839759	30839759	39606429	39606429	38221295	38221295	48551518	48551518	60312651	60312651	57909346	57909346	71707931	71707931	77371280	77371280
7006	Amatenango de la Frontera	PAN-PRD	Other	PAN-PRD	N	Z	0	1063437	1063437	1316100	1316100	1914249	1914249	1839323	1839323	1852562	1852562	2496420	2496420	6644782	6644782	9817581	9817581	5943308	5943308	6587361	6587361	9158441	9158441	0	0	28222547	28222547	27661147	27661147	30306858	30306858	33965179	33965179	40921279	40921279	55929088	55929088	0	0	51214837	51214837	49819629	49819629
7007	Amatenango del Valle	PRI	PRI	PRI	N	Z	0	240692	240692	901400	901400	540261	540261	1185692	1185692	721733	721733	0	0	1465169	1465169	2075891	2075891	2468200	2468200	2723349	2723349	3409764	3409764	0	0	14749874	14749874	12903593	12903593	14341319	14341319	17636457	17636457	21872568	21872568	0	0	25023455	25023455	25671317	25671317	25994460	25994460
7008	Angel Albino Corzo	PAN	PRI	Other	N	S	0	1066081	1066081	1207300	1207300	1539225	1539225	2263849	2263849	3383422	3383422	2545779	2545779	3299742	3299742	4884246	4884246	7448673	7448673	7214302	7214302	8309451	8309451	0	0	21853063	21853063	24849931	24849931	28605732	28605732	28972529	28972529	43341674	43341674	43356798	43356798	55326527	55326527	55854808	55854808	50329710	50329710
7009	Arriaga	PRI	Other	Other	N	D	0	2936156	2936156	3720000	3720000	3864299	3864299	6101663	6101663	7547019	7547019	6703951	6703951	8918823	8918823	12770926	12770926	18840718	18840718	32286962	32286962	44376865	44376865	0	0	49404808	49404808	50109397	50109397	55128498	55128498	55261568	55261568	65461112	65461112	66713435	66713435	77255316	77255316	93406178	93406178	81231786	81231786
7010	Bejucal de Ocampo	PAN-PRD	PRD	PAN-PRD	N	Z	0	305942	305942	832200	832200	676803	676803	1361000	1361000	1352373	1352373	740270	740270	1626921	1626921	2550509	2550509	3659725	3659725	3919068	3919068	4683658	4683658	0	0	21503078	21503078	14706232	14706232	0	0	18062684	18062684	22617527	22617527	0	0	0	0	34242885	34242885	30375032	30375032
7011	Bella Vista	PAN-PRD	PRI	PAN-PRD	N	Z	0	742391	742391	1285500	1285500	1139940	1139940	1800000	1800000	1838943	1838943	2017023	2017023	2854694	2854694	4739306	4739306	5886158	5886158	5788658	5788658	7742659	7742659	0	0	25059126	25059126	28459836	28459836	28039895	28039895	34121437	34121437	39128934	39128934	0	0	44964620	44964620	52809156	52809156	47326252	47326252
7012	Berriozábal	PRI	PRI	PAN-PRD	N	Z	0	996926	996926	1066500	1066500	1928934	1928934	3077000	3077000	4184349	4184349	2748736	2748736	5062861	5062861	5504152	5504152	6512086	6512086	8543862	8543862	9516436	9516436	11977673	11977673	30989223	30989223	37296301	37296301	42005241	42005241	41067667	41067667	50961895	50961895	0	0	68018140	68018140	73139567	73139567	69180537	69180537
7013	Bochil	PRD	PRI	PRI	N	Z	0	911658	911658	1141200	1141200	1198848	1198848	1706320	1706320	1962517	1962517	3834055	3834055	8896622	8896622	4160072	4160072	3373173	3373173	6463772	6463772	9307756	9307756	0	0	30098259	30098259	30170817	30170817	39978961	39978961	36719482	36719482	42975070	42975070	73656582	73656582	60752982	60752982	69002232	69002232	0	0
7014	El Bosque	PRI	PRI	PRI	N	Z	0	735204	735204	959200	959200	842102	842102	1934201	1934201	1368119	1368119	1469779	1469779	2194393	2194393	3888516	3888516	5208811	5208811	4630545	4630545	7053136	7053136	0	0	28863455	28863455	26388128	26388128	0	0	30470724	30470724	39965253	39965253	38002433	38002433	56956190	56956190	73249250	73249250	68224194	68224194
7015	Cacahoatán	PRI	PRI	PAN-PRD	N	S	0	1366744	1366744	1935400	1935400	2239984	2239984	3046488	3046488	3091539	3091539	2807757	2807757	5576711	5576711	8826769	8826769	9913356	9913356	9671776	9671776	13070853	13070853	0	0	33364282	33364282	40084794	40084794	43361180	43361180	55656596	55656596	56987403	56987403	70219168	70219168	82247529	82247529	74777208	74777208	76007047	76007047
7016	Catazajá	PAN-PRD	PAN	Other	N	Z	0	1093877	1093877	1683600	1683600	1898085	1898085	3029982	3029982	3870904	3870904	3352094	3352094	4352602	4352602	7138332	7138332	8547571	8547571	9892715	9892715	13460454	13460454	0	0	30238213	30238213	31566339	31566339	34597671	34597671	36479976	36479976	50657086	50657086	50295131	50295131	51141966	51141966	51788802	51788802	58293018	58293018
7017	Cintalapa	PRD	PRD	PAN-PRD	N	Z	0	2600937	2600937	3555500	3555500	3723477	3723477	5682000	5682000	5251845	5251845	5748117	5748117	8073910	8073910	11820258	11820258	16880361	16880361	18985775	18985775	24604696	24604696	0	0	76771448	76771448	82345588	82345588	89416313	89416313	0	0	133884019	133884019	0	0	187430607	187430607	219582399	219582399	187505533	187505533
7018	Coapilla	PAN-PRD	PRI	PAN-PRD	N	Z	0	697890	697890	939400	939400	831788	831788	1188889	1188889	1310539	1310539	0	0	1732843	1732843	3077055	3077055	3578885	3578885	4462046	4462046	5747274	5747274	0	0	13080581	13080581	12289396	12289396	13044840	13044840	17703803	17703803	23096055	23096055	21629275	21629275	23925927	23925927	21798473	21798473	20539839	20539839
