Nombre	1990 E	1990 I	1990 T	1990 H	1991 E	1991 I	1991 T	1991 H	1992 E	1992 I	1992 T	1992 H	1993 E	1993 I	1993 T	1993 H	1994 E	1994 I	1994 T	1994 H	1995 E	1995 I	1995 T	1995 H	1996 E	1996 I	1996 T	1996 H	1997 E	1997 I	1997 T	1997 H	1998 E	1998 I	1998 T	1998 H	1999 E	1999 I	1999 T	1999 H	2000 E	2000 I	2000 T	2000 H	2001 E	2001 I	2001 T	2001 H	2002 E	2002 I	2002 T	2002 H	2003 E	2003 I	2003 T	2003 H	2004 E	2004 I	2004 T	2004 H	2005 E	2005 I	2005 T	2005 H	2006 E	2006 I	2006 T	2006 H	2007 E	2007 I	2007 T	2007 H	2008 E	2008 I	2008 T	2008 H	2009 E	2009 I	2009 T	2009 H	2010E	2010 I	2010 T	2010 H
Acambay	2282255	2282255	60	23	2509080	2509080	65	32	3608722	3608722	58	15	5317019	5317019	50	11	7428600	7428600	51	11	7075226	7075226	42	10	9953943	9953943	29	6	15302646	15302646	37	10	27924831	27924831	45	10	45820033	45820033	39	11	50444845	50444845	42	10	0	0	39	2	88868092	88868092	39	3	104428950	104428950	45	6	102415793	102415793	42	5	118059714	118059714	33	8	138023335	138023335	37	5	136185799	136185799	38	5	156017020	156017020	44	5	167514417	167514417	37	5	203463222	203463222	48	11
Acanceh	526386	526386	4	1	543925	543925	7	0	448302	448302	7	2	857337	857337	6	1	1235338	1235338	7	1	1549647	1549647	5	0	2158024	2158024	6	4	3120431	3120431	5	1	0	0	3	0	0	0	3	1	0	0	6	0	0	0	6	0	14621819	14621819	5	0	15995073	15995073	10	1	17762721	17762721	6	0	19682265	19682265	5	0	22910741	22910741	2	0	25796620	25796620	9	1	29808473	29808473	13	0	35119799	35119799	7	0	27634001	27634001	8	0
Acapetahua	1278021	1278021	22	6	1522400	1522400	22	11	1674405	1674405	24	10	3014000	3014000	28	10	2917603	2917603	23	10	2922074	2922074	23	15	4050030	4050030	26	11	6403003	6403003	31	13	7404619	7404619	33	17	8338323	8338323	20	6	12346041	12346041	27	10	0	0	22	0	28892554	28892554	13	6	31589351	31589351	18	7	34218752	34218752	18	4	37837188	37837188	17	2	48019484	48019484	21	8	52091228	52091228	11	0	65220865	65220865	21	6	58331353	58331353	21	3	63136119	63136119	16	2
Acaponeta	2402595	2402595	41	16	3662533	3662533	63	31	3676848	3676848	41	16	4306880	4306880	54	22	8634443	8634443	53	21	8275664	8275664	31	16	11902554	11902554	44	10	12955958	12955958	26	7	26958610	26958610	28	9	32907023	32907023	38	9	38548309	38548309	22	8	49138506	49138506	27	8	52049994	52049994	38	8	60004118	60004118	28	8	59090809	59090809	33	5	68397560	68397560	25	5	74779039	74779039	26	5	79681621	79681621	22	9	107185610	107185610	26	5	126373844	126373844	26	7	116701804	116701804	61	35
Acapulco de Juárez	59561103	59561103	441	82	101253876	101253876	517	178	111379266	111379266	866	362	206837170	206837170	631	275	211593526	211593526	583	253	214891476	214891476	527	225	200448378	200448378	541	227	276632149	276632149	699	228	334132045	334132045	544	193	696275191	696275191	454	177	755928949	755928949	429	135	939784503	939784503	373	116	972971323	972971323	373	102	1081086922	1081086922	390	107	1147408258	1147408258	396	103	1457373854	1457373854	378	124	1431249420	1431249420	548	250	1657382239	1657382239	578	182	1976060251	1976060251	518	209	2465037572	2465037572	788	391	2780999983	2780999983	717	438
Acateno	388338	388338	2	2	550807	550807	5	0	991452	991452	4	1	736720	736720	3	0	1172686	1172686	2	1	1437074	1437074	1	0	2295288	2295288	2	0	2901217	2901217	5	2	3168303	3168303	1	1	3487244	3487244	3	0	4878759	4878759	3	0	0	0	2	1	15443429	15443429	3	0	6752973	6752973	3	1	11952225	11952225	2	0	15339030	15339030	4	0	15153921	15153921	3	0	17117231	17117231	3	1	16685347	16685347	5	0	28029745	28029745	5	1	0	0	6	1
Acatepec	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	12	4	1826318	1826318	16	8	2236565	2236565	11	3	971775	971775	17	10	1079855	1079855	14	3	0	0	15	2	20713965	20713965	12	3	17963295	17963295	16	4	0	0	24	1	54071120	54071120	21	5	59223292	59223292	20	11	63328102	63328102	11	4	72126838	72126838	19	6	83825096	83825096	24	9	92156463	92156463	26	8	98047665	98047665	34	7	0	0	30	4
Acatic	1395202	1395202	14	0	1801890	1801890	38	8	2312756	2312756	24	0	4805520	4805520	17	0	3395525	3395525	4	0	4384320	4384320	7	1	6562698	6562698	11	1	8791704	8791704	10	1	13215318	13215318	15	0	20746464	20746464	9	1	24582664	24582664	17	1	34341318	34341318	8	0	31113955	31113955	10	1	35656324	35656324	10	1	37774810	37774810	13	0	49197714	49197714	14	0	0	0	8	1	44302646	44302646	18	2	54489780	54489780	15	0	61838483	61838483	19	1	61474754	61474754	24	0
Acatlán	612202	612202	4	0	920895	920895	3	0	1545649	1545649	2	0	2078800	2078800	3	1	1677553	1677553	0	0	2536578	2536578	2	0	2961996	2961996	1	0	8678262	8678262	1	0	16300156	16300156	3	1	28181985	28181985	4	1	20048998	20048998	1	0	23867158	23867158	1	0	22178556	22178556	1	0	24353179	24353179	2	0	26472859	26472859	3	0	29885062	29885062	1	0	29114005	29114005	2	0	34510633	34510633	2	0	0	0	0	0	39983805	39983805	4	0	41001232	41001232	1	0
Acatlán	1213918	1213918	4	0	1512812	1512812	3	0	1858619	1858619	2	0	2529315	2529315	3	1	2664394	2664394	0	0	2464548	2464548	2	0	4667916	4667916	1	0	5715720	5715720	1	0	7491881	7491881	3	1	8002022	8002022	4	1	10929370	10929370	1	0	0	0	1	0	36178846	36178846	1	0	35215738	35215738	2	0	38889131	38889131	3	0	29482451	29482451	1	0	57184216	57184216	2	0	21749935	21749935	2	0	59270398	59270398	0	0	0	0	4	0	0	0	1	0
