Nombre	1990 E	1990 I	1990 T	1990 H	1991 E	1991 I	1991 T	1991 H	1992 E	1992 I	1992 T	1992 H	1993 E	1993 I	1993 T	1993 H	1994 E	1994 I	1994 T	1994 H	1995 E	1995 I	1995 T	1995 H	1996 E	1996 I	1996 T	1996 H	1997 E	1997 I	1997 T	1997 H	1998 E	1998 I	1998 T	1998 H	1999 E	1999 I	1999 T	1999 H	2000 E	2000 I	2000 T	2000 H	2001 E	2001 I	2001 T	2001 H	2002 E	2002 I	2002 T	2002 H	2003 E	2003 I	2003 T	2003 H	2004 E	2004 I	2004 T	2004 H	2005 E	2005 I	2005 T	2005 H	2006 E	2006 I	2006 T	2006 H	2007 E	2007 I	2007 T	2007 H	2008 E	2008 I	2008 T	2008 H	2009 E	2009 I	2009 T	2009 H	2010E	2010 I	2010 T	2010 H
Chila	172876	172876	9	0	258899	258899	2	0	357996	357996	1	0	377259	377259	3	1	723570	723570	7	2	1240747	1240747	5	2	1869936	1869936	3	1	2137513	2137513	2	1	2372836	2372836	2	0	3172837	3172837	3	1	3885252	3885252	3	1	6648909	6648909	1	1	9642829	9642829	0	0	9043277	9043277	3	0	13119362	13119362	2	0	11664766	11664766	3	1	13303695	13303695	3	1	14500027	14500027	2	0	16030824	16030824	4	1	0	0	5	1	0	0	4	0
Chila de la Sal	0	0	9	3	0	0	0	0	190927	190927	3	0	222764	222764	2	0	334443	334443	3	0	607015	607015	1	0	1119454	1119454	0	0	1355609	1355609	4	2	1478152	1478152	0	0	1520019	1520019	1	0	2266898	2266898	1	0	2879541	2879541	1	0	3584913	3584913	0	0	0	0	1	1	3492997	3492997	0	0	5014731	5014731	0	0	5049903	5049903	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0
Chilapa de Álvarez	3682343	3682343	9	36	6259986	6259986	81	39	6885985	6885985	98	56	9640379	9640379	63	33	8734700	8734700	82	47	14529112	14529112	75	41	17554398	17554398	95	34	9682164	9682164	69	22	17286424	17286424	81	22	0	0	67	19	89278716	89278716	81	13	124618321	124618321	54	16	124498296	124498296	53	11	148392699	148392699	53	9	158662191	158662191	38	11	145068569	145068569	36	7	165144327	165144327	49	7	181419617	181419617	61	16	220405358	220405358	61	16	227728570	227728570	118	44	251901331	251901331	76	29
Chilchota	1585208	1585208	9	3	1135251	1135251	14	1	1485560	1485560	18	5	1569267	1569267	15	5	1930651	1930651	9	2	3760795	3760795	14	1	4049900	4049900	14	1	0	0	14	5	19456277	19456277	13	2	17533938	17533938	21	1	24880826	24880826	20	6	28863728	28863728	18	2	30140345	30140345	18	4	37002436	37002436	15	4	42382536	42382536	11	1	42114544	42114544	8	1	51529085	51529085	34	9	59130611	59130611	9	2	62873500	62873500	19	4	66400620	66400620	11	3	75104502	75104502	17	4
Chilchotla	479733	479733	9	1	815547	815547	3	0	898926	898926	2	0	955549	955549	3	0	1242625	1242625	6	0	1442173	1442173	2	0	2524636	2524636	2	0	2953351	2953351	1	0	4005368	4005368	5	1	4643377	4643377	3	1	7112236	7112236	10	0	0	0	2	0	0	0	4	0	33778294	33778294	5	0	35332522	35332522	9	1	37288485	37288485	5	0	52437217	52437217	8	1	0	0	2	0	0	0	10	0	0	0	6	0	0	0	11	1
Chilcuautla	589313	589313	9	0	922331	922331	2	0	1479772	1479772	8	0	1713617	1713617	11	1	1919200	1919200	5	0	2468318	2468318	7	1	3724462	3724462	7	2	9276945	9276945	13	2	11410671	11410671	4	0	22601087	22601087	4	0	18235657	18235657	11	0	20961249	20961249	8	1	14717058	14717058	6	2	16655020	16655020	10	1	18182492	18182492	7	0	22889046	22889046	10	0	21941460	21941460	10	0	26308206	26308206	9	0	35677650	35677650	10	1	31988548	31988548	6	1	32924422	32924422	6	1
Chilón	1226028	1226028	9	3	2182900	2182900	26	5	2375135	2375135	15	1	3414070	3414070	26	4	4347991	4347991	26	9	4520994	4520994	31	6	5683667	5683667	27	5	8590444	8590444	33	9	15304000	15304000	26	5	13750246	13750246	22	7	20640559	20640559	30	4	0	0	39	3	140913961	140913961	30	14	143060825	143060825	31	8	187909426	187909426	33	5	0	0	30	7	211859599	211859599	35	8	227452222	227452222	29	2	276231820	276231820	37	4	375229831	375229831	50	14	327208120	327208120	35	5
Chilpancingo de los Bravo	18880185	18880185	9	50	31889394	31889394	217	96	29770760	29770760	270	131	29010800	29010800	209	85	42276560	42276560	172	57	46950827	46950827	142	58	74252369	74252369	144	51	38632319	38632319	126	40	99055448	99055448	130	44	105085458	105085458	118	38	126154754	126154754	105	31	188383088	188383088	117	19	172720445	172720445	114	16	220520635	220520635	88	14	224670129	224670129	89	21	232424630	232424630	98	26	271049721	271049721	122	47	325488234	325488234	144	31	418630528	418630528	144	46	404249839	404249839	182	73	544955448	544955448	165	90
Chimalhuacán	12644538	12644538	9	108	14759389	14759389	178	112	18764777	18764777	219	136	27225505	27225505	202	101	20664210	20664210	225	105	34105822	34105822	241	126	40899976	40899976	290	153	61421029	61421029	249	130	113104508	113104508	238	106	191386911	191386911	249	121	89943731	89943731	244	111	287808835	287808835	244	125	367133283	367133283	250	89	437914800	437914800	198	84	468177791	468177791	215	70	535536559	535536559	251	77	618574830	618574830	252	80	657361278	657361278	199	56	812999605	812999605	243	61	924807678	924807678	263	84	1061522001	1061522001	287	111
Chimaltitán	305375	305375	9	2	394756	394756	3	0	632232	632232	11	2	740876	740876	6	4	920122	920122	3	1	952428	952428	5	1	1987160	1987160	2	1	2587802	2587802	1	1	5878507	5878507	10	1	7075937	7075937	5	0	13943545	13943545	2	0	9561295	9561295	1	1	10052687	10052687	9	2	12303607	12303607	7	1	11744146	11744146	7	1	20241684	20241684	4	0	24023602	24023602	3	1	0	0	3	1	26302796	26302796	4	1	0	0	3	0	0	0	4	0
China	1697061	1697061	9	1	3117251	3117251	7	4	4727009	4727009	10	1	6655737	6655737	11	1	7538028	7538028	22	0	7075590	7075590	18	1	7554558	7554558	8	1	8500488	8500488	8	1	12432419	12432419	9	2	16058111	16058111	7	0	19879161	19879161	5	0	25966655	25966655	8	1	29258361	29258361	9	0	30442055	30442055	3	0	33193091	33193091	7	1	41225760	41225760	9	0	50441290	50441290	4	0	43958062	43958062	7	1	54500020	54500020	5	1	54853700	54853700	15	1	57456106	57456106	15	13
Chinameca	914683	914683	9	1	1046428	1046428	10	1	1016886	1016886	6	1	1362676	1362676	4	1	1629126	1629126	5	0	1795026	1795026	7	0	2841908	2841908	6	2	3343935	3343935	6	2	4854544	4854544	9	1	5451304	5451304	6	1	6555705	6555705	6	1	13226774	13226774	10	1	15884025	15884025	10	0	14130000	14130000	9	0	17417063	17417063	4	0	19720075	19720075	8	0	20910037	20910037	3	0	23994144	23994144	5	1	30302386	30302386	8	0	31644199	31644199	6	1	29316651	29316651	8	1
Chinampa de Gorostiza	245461	245461	9	0	337662	337662	9	1	525161	525161	4	1	646105	646105	2	0	1061083	1061083	10	0	1252206	1252206	4	0	1995236	1995236	5	0	2202564	2202564	8	2	2688558	2688558	9	2	3441112	3441112	3	0	4416868	4416868	4	0	14091597	14091597	4	0	16528065	16528065	6	1	16878495	16878495	5	0	19980190	19980190	6	0	19571363	19571363	17	0	22052590	22052590	6	1	23598930	23598930	10	2	33387578	33387578	8	2	36147454	36147454	7	0	31234577	31234577	8	2
Chinantla	141718	141718	9	0	256554	256554	3	1	208604	208604	4	0	251690	251690	1	1	450662	450662	4	3	627806	627806	3	2	1123721	1123721	1	1	1434937	1434937	3	1	1817153	1817153	4	1	1920636	1920636	1	0	2480906	2480906	3	0	0	0	1	0	4678142	4678142	2	0	6294084	6294084	0	0	5034553	5034553	3	0	5035539	5035539	2	0	5449233	5449233	1	0	0	0	3	1	0	0	3	2	14065641	14065641	3	0	0	0	1	0
Chinicuila	216757	216757	9	5	623243	623243	11	10	1718498	1718498	5	3	1970487	1970487	7	5	2132473	2132473	15	11	3039888	3039888	9	6	4230049	4230049	16	9	4864175	4864175	11	10	8245632	8245632	2	1	10168163	10168163	1	0	13792514	13792514	9	5	15934106	15934106	8	8	19315648	19315648	2	2	27703810	27703810	7	4	29939842	29939842	5	3	30191060	30191060	10	4	41447159	41447159	7	3	37741568	37741568	7	2	41293092	41293092	8	1	40396008	40396008	8	5	41629892	41629892	3	1
Chínipas	593291	593291	9	7	1219761	1219761	27	24	1302996	1302996	31	24	1562816	1562816	23	16	1602189	1602189	13	11	2062088	2062088	16	9	2701883	2701883	20	14	3832129	3832129	18	16	6768738	6768738	15	5	12130179	12130179	11	7	14142954	14142954	4	3	14689786	14689786	12	8	15100077	15100077	15	10	15338002	15338002	17	13	15503840	15503840	5	5	19361613	19361613	15	10	21949193	21949193	23	16	22680868	22680868	15	6	26045734	26045734	16	3	28696819	28696819	10	0	32984911	32984911	17	12
Chiquihuitlán de Benito Juárez	40626	40626	9	1	53928	53928	3	2	71076	71076	6	4	112608	112608	2	2	186127	186127	1	0	220229	220229	3	2	364831	364831	4	0	628089	628089	3	1	976579	976579	1	0	1221038	1221038	6	2	2135775	2135775	2	1	7380399	7380399	0	0	5761283	5761283	3	1	7647677	7647677	2	1	6788159	6788159	1	0	5336970	5336970	1	0	0	0	2	1	0	0	0	0	8714070	8714070	1	0	0	0	0	0	0	0	1	0
Chiquilistlán	309452	309452	9	2	456102	456102	2	0	652633	652633	5	0	740315	740315	3	1	879828	879828	2	1	1095733	1095733	5	0	2061002	2061002	1	1	3054693	3054693	3	0	5588069	5588069	5	0	7440518	7440518	2	0	8704107	8704107	3	1	9170896	9170896	3	0	9749277	9749277	4	0	12626784	12626784	6	0	10799280	10799280	3	1	12252672	12252672	6	0	15268320	15268320	2	0	15212543	15212543	2	0	18300089	18300089	2	0	0	0	6	0	0	0	4	2
Choapam	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chocamán	262513	262513	9	0	430201	430201	4	0	528430	528430	3	0	807693	807693	7	0	1041903	1041903	5	0	1307183	1307183	9	1	1927230	1927230	4	0	2374017	2374017	7	2	3383158	3383158	9	0	3755251	3755251	6	0	3776539	3776539	8	0	13398624	13398624	8	0	16550383	16550383	8	0	16043381	16043381	4	0	19764539	19764539	6	0	19445160	19445160	10	1	24992514	24992514	2	0	23492275	23492275	4	0	33233543	33233543	7	0	40336867	40336867	4	1	59100870	59100870	3	2
Chocholá	339314	339314	9	0	255944	255944	2	0	406180	406180	3	0	373877	373877	2	0	648747	648747	0	0	794514	794514	2	1	1174201	1174201	3	0	1551189	1551189	2	0	1917429	1917429	1	0	2524702	2524702	4	0	3485474	3485474	3	0	1743614	1743614	1	0	6316506	6316506	3	0	7470346	7470346	3	1	7540487	7540487	2	0	8287624	8287624	2	0	10225957	10225957	3	0	11183558	11183558	0	0	15319145	15319145	2	0	13529720	13529720	1	0	15200946	15200946	0	0
Choix	2600165	2600165	9	13	3511600	3511600	28	16	4508907	4508907	30	15	4683938	4683938	37	15	5252874	5252874	47	20	6327200	6327200	50	29	9367356	9367356	38	22	12295607	12295607	36	29	27747168	27747168	29	22	31327497	31327497	41	15	36575131	36575131	20	10	38645303	38645303	26	11	35444086	35444086	23	12	39870361	39870361	27	9	44025925	44025925	29	9	49479515	49479515	15	9	59690123	59690123	29	14	77109765	77109765	33	18	77631287	77631287	25	14	84165421	84165421	56	20	108380376	108380376	69	41
Chontla	318117	318117	9	0	385828	385828	2	0	579369	579369	7	0	872370	872370	9	0	1136692	1136692	2	0	1370700	1370700	6	2	1862728	1862728	4	0	2221129	2221129	5	2	2945221	2945221	5	1	3706772	3706772	5	0	4645970	4645970	5	2	16630012	16630012	5	0	17026224	17026224	6	2	18881246	18881246	9	1	19951580	19951580	8	1	23488785	23488785	5	0	26099082	26099082	0	0	26074019	26074019	5	1	32487314	32487314	3	1	38374828	38374828	10	1	43219846	43219846	7	2
Chucándiro	542615	542615	9	0	773068	773068	5	3	1001551	1001551	7	3	979411	979411	9	5	1077735	1077735	5	1	1248749	1248749	3	2	1918889	1918889	5	2	2547789	2547789	5	2	6887919	6887919	6	2	0	0	7	1	12223601	12223601	2	0	12106033	12106033	5	1	14128863	14128863	3	0	17993292	17993292	8	0	22463319	22463319	1	0	18522288	18522288	3	0	20193244	20193244	2	1	23585635	23585635	3	0	24873092	24873092	3	1	27299298	27299298	2	0	27784970	27784970	6	0
Chumatlán	174052	174052	9	1	232984	232984	2	0	372774	372774	2	1	394630	394630	1	0	602000	602000	3	1	901619	901619	2	1	1222513	1222513	1	0	1523633	1523633	2	0	1980293	1980293	1	0	4254779	4254779	5	1	2037186	2037186	2	0	5939024	5939024	2	0	6495888	6495888	5	3	7277430	7277430	4	0	7520814	7520814	3	1	8281843	8281843	1	0	9586013	9586013	4	0	11129308	11129308	0	0	15093338	15093338	1	0	21710466	21710466	0	0	21179163	21179163	2	0
Chumayel	208020	208020	9	0	234237	234237	0	0	303307	303307	3	0	368497	368497	1	1	518328	518328	0	0	651000	651000	1	0	952640	952640	1	0	1292480	1292480	1	0	1591755	1591755	0	0	2287675	2287675	1	0	3113563	3113563	1	0	1508398	1508398	1	0	5399917	5399917	0	0	6136325	6136325	3	0	6490201	6490201	2	0	6912065	6912065	5	0	8236421	8236421	1	0	9504020	9504020	1	0	10582350	10582350	1	0	10717199	10717199	0	0	11965537	11965537	1	0
Churintzio	674165	674165	9	1	972001	972001	7	2	1076754	1076754	5	1	1707561	1707561	4	1	2368657	2368657	5	0	3333705	3333705	2	0	2573829	2573829	6	2	2856312	2856312	7	1	6327327	6327327	6	0	12499199	12499199	1	0	10655581	10655581	5	0	10579761	10579761	6	4	11249897	11249897	5	3	15845826	15845826	5	1	17286524	17286524	5	0	15075806	15075806	6	2	16941929	16941929	4	1	19573582	19573582	1	0	18954428	18954428	8	1	19983448	19983448	5	0	22535181	22535181	6	0
Churumuco	788288	788288	9	22	1023752	1023752	27	19	974969	974969	31	24	1626737	1626737	24	13	1964700	1964700	14	9	2197935	2197935	22	18	3246062	3246062	14	11	4256070	4256070	10	4	10317132	10317132	3	1	14797174	14797174	8	4	17596469	17596469	7	1	20204826	20204826	8	1	27164001	27164001	4	3	33825633	33825633	4	2	33590499	33590499	1	1	38413422	38413422	6	2	40218950	40218950	8	2	0	0	12	3	56697695	56697695	12	2	56299223	56299223	9	4	48145678	48145678	10	1
Ciénega de Flores	1733975	1733975	9	0	2412405	2412405	1	0	2490708	2490708	5	0	3345157	3345157	7	0	5464873	5464873	2	0	4922778	4922778	5	1	6916156	6916156	7	0	8686383	8686383	3	0	11549052	11549052	4	0	19171593	19171593	18	1	22205506	22205506	4	0	30680637	30680637	6	0	37430380	37430380	6	0	36269961	36269961	5	0	40228565	40228565	8	1	52997024	52997024	11	0	58266519	58266519	7	0	81711356	81711356	10	0	98811278	98811278	8	1	91087746	91087746	12	0	90328312	90328312	12	1
Ciénega de Zimatlán	60126	60126	9	1	111939	111939	1	1	178314	178314	2	0	136913	136913	1	0	241853	241853	0	0	199540	199540	0	0	726367	726367	1	0	1208619	1208619	0	0	2091438	2091438	0	0	2161316	2161316	1	1	4301579	4301579	0	0	3819430	3819430	1	0	5536482	5536482	3	0	5606930	5606930	2	2	5681209	5681209	1	0	5676735	5676735	1	0	6694956	6694956	0	0	5141113	5141113	3	0	8455222	8455222	3	1	8713690	8713690	0	0	8677643	8677643	0	0
Cihuatlán	2686341	2686341	9	4	3688395	3688395	20	5	5498813	5498813	38	11	7597766	7597766	19	4	8438177	8438177	17	4	8537562	8537562	25	4	9545107	9545107	25	6	12141151	12141151	21	3	20905758	20905758	14	4	31948943	31948943	25	4	0	0	32	3	41586340	41586340	20	2	45911689	45911689	22	4	0	0	20	3	60901391	60901391	21	5	57677896	57677896	14	5	76624822	76624822	26	3	83563592	83563592	25	4	90788998	90788998	20	3	96245035	96245035	30	14	93964830	93964830	32	7
Cintalapa	2600937	2600937	9	13	3555500	3555500	35	7	3723477	3723477	44	12	5682000	5682000	32	11	5251845	5251845	32	13	5748117	5748117	43	16	8073910	8073910	39	13	11820258	11820258	51	10	16880361	16880361	51	23	18985775	18985775	43	7	24604696	24604696	42	4	0	0	37	2	76771448	76771448	25	7	82345588	82345588	31	8	89416313	89416313	24	0	0	0	31	13	133884019	133884019	33	9	0	0	37	1	187430607	187430607	33	2	219582399	219582399	40	10	187505533	187505533	39	2
Citlaltépetl	253934	253934	9	0	332805	332805	3	0	523757	523757	7	0	959342	959342	5	1	1248474	1248474	5	1	1054021	1054021	2	0	1464413	1464413	4	1	1777177	1777177	2	1	2766004	2766004	1	1	3028363	3028363	3	1	4635543	4635543	7	0	12006041	12006041	3	0	11265266	11265266	3	0	11780000	11780000	4	0	13564837	13564837	10	2	15274974	15274974	1	1	16565228	16565228	1	1	18161498	18161498	3	0	28397793	28397793	4	0	30036710	30036710	5	0	23174365	23174365	3	0
Ciudad del Maíz	2012186	2012186	9	7	2492295	2492295	29	5	3270000	3270000	24	3	3832230	3832230	22	9	5367929	5367929	38	7	5125742	5125742	17	4	5730919	5730919	18	8	7423261	7423261	20	8	11370719	11370719	14	4	28342131	28342131	10	2	36519738	36519738	12	5	45909888	45909888	11	3	50485018	50485018	13	5	52055007	52055007	12	2	57695164	57695164	13	3	63467109	63467109	9	3	73633740	73633740	13	2	72244727	72244727	15	2	82640608	82640608	19	2	109325911	109325911	20	3	84650515	84650515	23	8
Ciudad Fernández	1193236	1193236	9	6	1786857	1786857	27	5	2302104	2302104	23	5	2804487	2804487	26	6	4871616	4871616	21	3	4684649	4684649	19	3	6808625	6808625	18	5	10386971	10386971	24	4	13565604	13565604	32	9	32838110	32838110	35	5	38736380	38736380	19	4	43120740	43120740	23	2	53352505	53352505	34	3	63516330	63516330	14	5	60116343	60116343	17	3	64587181	64587181	23	5	67653083	67653083	22	4	74246815	74246815	21	4	88289211	88289211	30	2	100763228	100763228	21	6	112921422	112921422	22	10
Ciudad Ixtepec	791754	791754	9	8	1127812	1127812	20	4	1593733	1593733	5	3	1616187	1616187	10	4	2616850	2616850	15	3	0	0	7	5	2709164	2709164	7	1	0	0	19	5	0	0	16	4	6548545	6548545	13	4	0	0	11	2	0	0	13	1	18462905	18462905	11	1	12164797	12164797	17	6	0	0	9	2	0	0	14	3	38615479	38615479	15	6	27799311	27799311	13	2	0	0	13	4	0	0	9	1	0	0	11	3
Ciudad Madero	10628625	10628625	9	6	15698430	15698430	82	5	20032070	20032070	97	9	24741000	24741000	86	8	38488533	38488533	75	10	41851487	41851487	61	7	52720448	52720448	52	7	74085469	74085469	54	2	104983704	104983704	51	6	164794935	164794935	65	5	221351128	221351128	70	1	220028105	220028105	59	6	241008797	241008797	66	6	270231944	270231944	49	6	283471496	283471496	63	0	380234421	380234421	53	2	576626259	576626259	58	6	582412384	582412384	64	7	494685123	494685123	73	9	526793935	526793935	61	12	581397577	581397577	101	42
Ciudad Valles	11555705	11555705	9	8	12969388	12969388	58	6	23321252	23321252	68	4	18608896	18608896	78	15	21304403	21304403	92	10	24345572	24345572	67	17	33084563	33084563	66	12	38213084	38213084	63	6	70448887	70448887	76	12	109733282	109733282	66	6	134834748	134834748	75	10	159760954	159760954	79	7	154004352	154004352	77	5	161619390	161619390	56	8	187524969	187524969	71	8	218942614	218942614	73	2	264059380	264059380	68	6	247132954	247132954	77	11	309586672	309586672	87	12	364697518	364697518	66	7	451754782	451754782	134	71
Coacalco de Berriozábal	21847778	21847778	9	27	29683957	29683957	81	45	39923303	39923303	86	38	44966522	44966522	86	31	34890638	34890638	90	33	55475861	55475861	82	28	65047285	65047285	83	31	76840401	76840401	67	29	111593702	111593702	86	33	160648002	160648002	75	24	191855008	191855008	75	27	196859488	196859488	81	20	253397843	253397843	72	20	283449799	283449799	97	23	393448446	393448446	80	21	503327787	503327787	76	30	417321125	417321125	63	15	473396883	473396883	65	13	596937137	596937137	93	33	582357977	582357977	107	38	953782600	953782600	92	39
Coacoatzintla	251961	251961	9	3	300330	300330	3	1	451141	451141	5	4	633263	633263	6	2	1638120	1638120	5	0	922143	922143	2	0	1393433	1393433	3	0	1807031	1807031	2	0	2303831	2303831	6	1	0	0	7	2	3469493	3469493	9	2	7920042	7920042	6	0	8758530	8758530	7	2	8830000	8830000	3	1	4609601	4609601	3	0	11317915	11317915	5	2	12229736	12229736	2	0	13618558	13618558	3	0	21538351	21538351	5	1	21739328	21739328	4	0	20960426	20960426	3	1
Coahuayana	740600	740600	9	10	1077820	1077820	15	4	1368229	1368229	16	8	1577944	1577944	8	4	2038284	2038284	27	12	3033382	3033382	15	6	2709697	2709697	17	9	4502256	4502256	32	12	9007622	9007622	15	7	12119281	12119281	15	6	14879935	14879935	5	3	16106276	16106276	14	5	17103637	17103637	19	11	21992981	21992981	15	5	24112471	24112471	17	8	31686306	31686306	15	1	28909753	28909753	17	6	31196784	31196784	12	4	34948937	34948937	16	4	29648193	29648193	16	9	36376745	36376745	13	9
Coahuayutla de José María Izazaga	703713	703713	9	3	1196312	1196312	3	1	1315946	1315946	9	8	1842325	1842325	13	10	2744281	2744281	9	8	3889850	3889850	21	16	5601179	5601179	22	19	1885124	1885124	26	19	0	0	22	16	0	0	28	19	18059034	18059034	7	7	22904635	22904635	15	11	30995575	30995575	20	8	23940548	23940548	6	3	27961764	27961764	13	6	29050753	29050753	7	2	32442130	32442130	11	7	35639710	35639710	12	8	41794918	41794918	11	3	47884341	47884341	37	31	62641045	62641045	19	12
Coahuila de Zaragoza	252009335	252009335	9	179	306392608	306392608	1162	221	396080182	396080182	1141	219	419463276	419463276	1241	214	571860572	571860572	1179	215	518448758	518448758	1032	177	719784644	719784644	1082	169	813651874	813651874	1110	153	1255413370	1255413370	1055	139	1744996959	1744996959	980	154	2182751552	2182751552	958	122	2548258735	2548258735	1043	153	2826981780	2826981780	1091	138	3056442102	3056442102	1011	122	3381536492	3381536492	940	121	4115320023	4115320023	1116	150	4423800261	4423800261	1114	110	5149047470	5149047470	1204	113	6340916994	6340916994	1197	198	6401411818	6401411818	1438	305	5981022585	5981022585	1758	484
Coahuitlán	183065	183065	9	1	303293	303293	3	2	341271	341271	5	2	539997	539997	1	1	738822	738822	1	0	977657	977657	3	1	1398266	1398266	2	1	1707288	1707288	1	0	1951730	1951730	5	2	2725589	2725589	7	1	3330200	3330200	4	0	7725945	7725945	6	1	8579360	8579360	5	0	0	0	3	0	9695381	9695381	1	0	12177450	12177450	1	0	12177450	12177450	4	0	13234957	13234957	0	0	20161471	20161471	3	1	19674243	19674243	7	1	19518209	19518209	2	0
Coalcomán de Vázquez Pallares	1896112	1896112	9	6	2442953	2442953	17	8	4854933	4854933	34	18	4384476	4384476	24	14	5284208	5284208	38	27	6220677	6220677	23	15	7556135	7556135	24	18	9287956	9287956	31	23	16212618	16212618	27	10	22786908	22786908	20	9	20585573	20585573	31	14	36852010	36852010	16	9	44311123	44311123	14	6	51473250	51473250	24	12	60588550	60588550	24	13	62587827	62587827	13	9	77470563	77470563	31	23	74822677	74822677	18	10	85511523	85511523	24	13	114304297	114304297	26	11	96954744	96954744	20	14
Coapilla	697890	697890	9	0	939400	939400	0	0	831788	831788	3	0	1188889	1188889	1	1	1310539	1310539	2	0	0	0	4	2	1732843	1732843	1	0	3077055	3077055	4	0	3578885	3578885	6	0	4462046	4462046	4	0	5747274	5747274	4	0	0	0	2	0	13080581	13080581	10	0	12289396	12289396	5	0	13044840	13044840	1	1	17703803	17703803	7	1	23096055	23096055	5	2	21629275	21629275	2	0	23925927	23925927	7	2	21798473	21798473	2	0	20539839	20539839	1	0
Coatecas Altas	28193	28193	9	2	36689	36689	8	5	0	0	6	6	0	0	8	6	0	0	4	4	0	0	4	3	281830	281830	1	1	660104	660104	3	1	0	0	7	7	1065371	1065371	5	5	1798616	1798616	0	0	7361347	7361347	2	1	3326228	3326228	4	0	7742780	7742780	2	1	10566442	10566442	2	1	0	0	3	3	0	0	2	0	1251225	1251225	3	0	13899815	13899815	3	0	16008251	16008251	5	2	13290277	13290277	1	0
Coatepec	49037	49037	9	3	87491	87491	28	9	133343	133343	23	3	158939	158939	29	3	439051	439051	41	4	1105753	1105753	33	6	2503739	2503739	26	4	3157896	3157896	29	2	2515199	2515199	30	8	2462628	2462628	22	4	3151337	3151337	36	3	0	0	36	2	5385130	5385130	24	0	4211508	4211508	24	2	5368493	5368493	31	4	3940269	3940269	30	1	5663530	5663530	20	2	5335970	5335970	36	4	9721314	9721314	34	3	7402649	7402649	30	4	0	0	35	5
Coatepec	2126668	2126668	9	3	2830365	2830365	28	9	3375782	3375782	23	3	5630528	5630528	29	3	6404800	6404800	41	4	7129950	7129950	33	6	9583375	9583375	26	4	12043609	12043609	29	2	15299971	15299971	30	8	19418684	19418684	22	4	24090418	24090418	36	3	58082796	58082796	36	2	62212623	62212623	24	0	59778626	59778626	24	2	68221465	68221465	31	4	77722064	77722064	30	1	86892575	86892575	20	2	115238600	115238600	36	4	184281484	184281484	34	3	203933421	203933421	30	4	181308859	181308859	35	5
Coatepec Harinas	3272011	3272011	9	17	3606284	3606284	42	17	5207349	5207349	38	21	6442807	6442807	35	10	7988803	7988803	32	14	9060064	9060064	34	9	15344736	15344736	28	6	15192126	15192126	24	8	25390579	25390579	21	11	33268656	33268656	27	4	41482764	41482764	29	7	0	0	24	5	73567640	73567640	27	4	70110870	70110870	29	9	72448815	72448815	34	3	90021041	90021041	29	5	101212171	101212171	23	9	132821568	132821568	27	6	139855577	139855577	20	2	148537065	148537065	24	8	148679653	148679653	23	4
Coatlán del Río	424818	424818	9	2	565948	565948	10	5	781999	781999	6	1	762840	762840	3	2	1261929	1261929	9	4	2170870	2170870	5	1	3534661	3534661	6	3	4712364	4712364	7	3	5234271	5234271	7	3	10254974	10254974	8	4	11923736	11923736	10	2	20375954	20375954	4	1	20413100	20413100	4	0	25795510	25795510	11	3	31163023	31163023	8	1	36337829	36337829	12	2	37428442	37428442	12	3	37820144	37820144	4	1	45620199	45620199	6	1	43784517	43784517	10	1	54915704	54915704	6	2
Coatzacoalcos	31036291	31036291	9	31	38406549	38406549	182	34	46518754	46518754	151	37	60264228	60264228	147	32	76347778	76347778	146	36	103283217	103283217	134	24	126307442	126307442	100	8	190549938	190549938	132	16	178231277	178231277	126	13	253839319	253839319	127	15	377708084	377708084	127	14	449626865	449626865	145	19	672516462	672516462	120	15	682685159	682685159	122	9	677167416	677167416	108	11	637199039	637199039	132	16	731074947	731074947	100	8	668817664	668817664	129	14	1112310885	1112310885	137	16	1092423306	1092423306	166	20	1187964676	1187964676	153	16
Coatzingo	212766	212766	9	0	201777	201777	1	1	267417	267417	1	0	317176	317176	3	2	646394	646394	0	0	895148	895148	3	0	1439615	1439615	1	1	1943224	1943224	2	1	2329131	2329131	5	2	2295012	2295012	2	1	2863737	2863737	2	0	0	0	2	0	5114493	5114493	0	0	5876744	5876744	0	0	5655510	5655510	2	0	6539606	6539606	1	0	7048886	7048886	5	2	8122374	8122374	3	0	8598848	8598848	1	0	8941515	8941515	0	0	0	0	0	0
Coatzintla	875156	875156	9	2	1096453	1096453	23	8	1449221	1449221	15	7	1916970	1916970	11	4	6079783	6079783	18	5	3514264	3514264	10	3	4595135	4595135	23	0	5505794	5505794	19	3	9156663	9156663	16	5	12505738	12505738	11	2	14382453	14382453	14	3	33550789	33550789	14	2	7741960	7741960	16	3	0	0	19	3	42792012	42792012	22	3	45117848	45117848	18	1	47583704	47583704	21	2	51199702	51199702	21	0	98263056	98263056	20	1	0	0	28	2	88203818	88203818	22	5
